X,CH1
Second,Volt,
-2.48e-07,-3.16e-02
-2.46e-07,-3.23e-02
-2.44e-07,-3.23e-02
-2.42e-07,-3.16e-02
-2.40e-07,-3.23e-02
-2.38e-07,-3.16e-02
-2.36e-07,-3.16e-02
-2.34e-07,-3.29e-02
-2.32e-07,-3.16e-02
-2.30e-07,-3.29e-02
-2.28e-07,-3.16e-02
-2.26e-07,-3.23e-02
-2.24e-07,-3.23e-02
-2.22e-07,-3.16e-02
-2.20e-07,-3.16e-02
-2.18e-07,-3.23e-02
-2.16e-07,-3.16e-02
-2.14e-07,-3.29e-02
-2.12e-07,-3.29e-02
-2.10e-07,-3.16e-02
-2.08e-07,-3.16e-02
-2.06e-07,-3.23e-02
-2.04e-07,-3.23e-02
-2.02e-07,-3.29e-02
-2.00e-07,-3.16e-02
-1.98e-07,-3.29e-02
-1.96e-07,-3.16e-02
-1.94e-07,-3.23e-02
-1.92e-07,-3.23e-02
-1.90e-07,-3.23e-02
-1.88e-07,-3.16e-02
-1.86e-07,-3.29e-02
-1.84e-07,-3.16e-02
-1.82e-07,-3.23e-02
-1.80e-07,-3.16e-02
-1.78e-07,-3.23e-02
-1.76e-07,-3.23e-02
-1.74e-07,-3.29e-02
-1.72e-07,-3.23e-02
-1.70e-07,-3.29e-02
-1.68e-07,-3.29e-02
-1.66e-07,-3.16e-02
-1.64e-07,-3.16e-02
-1.62e-07,-3.29e-02
-1.60e-07,-3.16e-02
-1.58e-07,-3.29e-02
-1.56e-07,-3.16e-02
-1.54e-07,-3.29e-02
-1.52e-07,-3.23e-02
-1.50e-07,-3.29e-02
-1.48e-07,-3.23e-02
-1.46e-07,-3.16e-02
-1.44e-07,-3.23e-02
-1.42e-07,-3.23e-02
-1.40e-07,-3.16e-02
-1.38e-07,-3.29e-02
-1.36e-07,-3.23e-02
-1.34e-07,-3.16e-02
-1.32e-07,-3.09e-02
-1.30e-07,-3.16e-02
-1.28e-07,-3.02e-02
-1.26e-07,-1.14e-02
-1.24e-07,-2.02e-03
-1.22e-07,2.42e-02
-1.20e-07,2.82e-02
-1.18e-07,3.29e-02
-1.16e-07,3.36e-02
-1.14e-07,3.36e-02
-1.12e-07,3.36e-02
-1.10e-07,3.36e-02
-1.08e-07,3.43e-02
-1.06e-07,3.43e-02
-1.04e-07,3.43e-02
-1.02e-07,3.49e-02
-1.00e-07,3.43e-02
-9.80e-08,3.49e-02
-9.60e-08,3.49e-02
-9.40e-08,3.49e-02
-9.20e-08,3.49e-02
-9.00e-08,3.43e-02
-8.80e-08,3.49e-02
-8.60e-08,3.56e-02
-8.40e-08,3.49e-02
-8.20e-08,3.56e-02
-8.00e-08,3.56e-02
-7.80e-08,3.56e-02
-7.60e-08,3.56e-02
-7.40e-08,3.56e-02
-7.20e-08,3.56e-02
-7.00e-08,3.56e-02
-6.80e-08,3.56e-02
-6.60e-08,3.56e-02
-6.40e-08,3.56e-02
-6.20e-08,3.63e-02
-6.00e-08,3.63e-02
-5.80e-08,3.56e-02
-5.60e-08,3.56e-02
-5.40e-08,3.63e-02
-5.20e-08,3.63e-02
-5.00e-08,3.56e-02
-4.80e-08,3.63e-02
-4.60e-08,3.63e-02
-4.40e-08,3.56e-02
-4.20e-08,3.63e-02
-4.00e-08,3.63e-02
-3.80e-08,3.63e-02
-3.60e-08,3.63e-02
-3.40e-08,3.63e-02
