Kanal;   Energie(keV); Impulse
       1;    16.9617;         8219   
       2;    17.8370;         8389   
       3;    18.7122;         7985   
       4;    19.5875;         7968   
       5;    20.4628;         7660   
       6;    21.3381;         7352   
       7;    22.2133;         7320   
       8;    23.0886;         6989   
       9;    23.9639;         6770   
      10;    24.8392;         6645   
      11;    25.7144;         6280   
      12;    26.5897;         6305   
      13;    27.4650;         6239   
      14;    28.3403;         6121   
      15;    29.2155;         5879   
      16;    30.0908;         5714   
      17;    30.9661;         5762   
      18;    31.8414;         5463   
      19;    32.7166;         5614   
      20;    33.5919;         5620   
      21;    34.4672;         5615   
      22;    35.3425;         5398   
      23;    36.2177;         5331   
      24;    37.0930;         5498   
      25;    37.9683;         5451   
      26;    38.8436;         5320   
      27;    39.7188;         5229   
      28;    40.5941;         5175   
      29;    41.4694;         5092   
      30;    42.3447;         5140   
      31;    43.2199;         5085   
      32;    44.0952;         5207   
      33;    44.9705;         4970   
      34;    45.8458;         5087   
      35;    46.7210;         5086   
      36;    47.5963;         5078   
      37;    48.4716;         5003   
      38;    49.3469;         5006   
      39;    50.2221;         4860   
      40;    51.0974;         5022   
      41;    51.9727;         4944   
      42;    52.8480;         5035   
      43;    53.7232;         5145   
      44;    54.5985;         6168   
      45;    55.4738;         7190   
      46;    56.3491;         5718   
      47;    57.2243;         5055   
      48;    58.0996;         5068   
      49;    58.9749;         5165   
      50;    59.8502;         5038   
      51;    60.7254;         5243   
      52;    61.6007;         5422   
      53;    62.4760;         5847   
      54;    63.3513;         6409   
      55;    64.2265;         7166   
      56;    65.1018;         7490   
      57;    65.9771;         7568   
      58;    66.8524;         7398   
      59;    67.7276;         7204   
      60;    68.6029;         7022   
      61;    69.4782;         6951   
      62;    70.3535;         7009   
      63;    71.2287;         6892   
      64;    72.1040;         6915   
      65;    72.9793;         6901   
      66;    73.8546;         7379   
      67;    74.7298;         8262   
      68;    75.6051;         8213   
      69;    76.4804;         8940   
      70;    77.3557;         9681   
      71;    78.2309;         8324   
      72;    79.1062;         8029   
      73;    79.9815;         9182   
      74;    80.8568;        15939   
      75;    81.7320;        44954   
      76;    82.6073;       144202   
      77;    83.4826;       151751   
      78;    84.3579;        37165   
      79;    85.2331;         8079   
      80;    86.1084;         7260   
      81;    86.9837;         6832   
      82;    87.8590;         5739   
      83;    88.7342;         5037   
      84;    89.6095;         4814   
      85;    90.4848;         4514   
      86;    91.3601;         4303   
      87;    92.2353;         4291   
      88;    93.1106;         4148   
      89;    93.9859;         4305   
      90;    94.8612;         4246   
      91;    95.7364;         4394   
      92;    96.6117;         4310   
      93;    97.4870;         4529   
      94;    98.3623;         4367   
      95;    99.2375;         4435   
      96;   100.1128;         4385   
      97;   100.9881;         4482   
      98;   101.8634;         4429   
      99;   102.7386;         4536   
     100;   103.6139;         4513   
     101;   104.4892;         4611   
     102;   105.3645;         4486   
     103;   106.2397;         4577   
     104;   107.1150;         4622   
     105;   107.9903;         4490   
     106;   108.8656;         4702   
     107;   109.7408;         4664   
     108;   110.6161;         4670   
     109;   111.4914;         4568   
     110;   112.3667;         4647   
     111;   113.2419;         4644   
     112;   114.1172;         4648   
     113;   114.9925;         4659   
     114;   115.8678;         4740   
     115;   116.7430;         4713   
     116;   117.6183;         4775   
     117;   118.4936;         4775   
     118;   119.3689;         4750   
     119;   120.2441;         4774   
     120;   121.1194;         5054   
     121;   121.9947;         4981   
     122;   122.8700;         4936   
     123;   123.7452;         4983   
     124;   124.6205;         4966   
     125;   125.4958;         5027   
     126;   126.3711;         5137   
     127;   127.2463;         5186   
     128;   128.1216;         5130   
     129;   128.9969;         5195   
     130;   129.8722;         5343   
     131;   130.7474;         5331   
     132;   131.6227;         5403   
     133;   132.4980;         5420   
     134;   133.3733;         5508   
     135;   134.2485;         5638   
     136;   135.1238;         5723   
     137;   135.9991;         5879   
     138;   136.8744;         5890   
     139;   137.7496;         5921   
     140;   138.6249;         6150   
     141;   139.5002;         6401   
     142;   140.3755;         6584   
     143;   141.2507;         6593   
