Kanal;   Energie(keV); Impulse
       1;    16.9617;         5521   
       2;    17.8370;         5517   
       3;    18.7122;         5246   
       4;    19.5875;         5197   
       5;    20.4628;         5134   
       6;    21.3381;         5068   
       7;    22.2133;         4855   
       8;    23.0886;         4732   
       9;    23.9639;         4720   
      10;    24.8392;         4709   
      11;    25.7144;         4595   
      12;    26.5897;         4542   
      13;    27.4650;         4489   
      14;    28.3403;         4467   
      15;    29.2155;         4400   
      16;    30.0908;         4396   
      17;    30.9661;         4312   
      18;    31.8414;         4436   
      19;    32.7166;         4196   
      20;    33.5919;         4222   
      21;    34.4672;         4091   
      22;    35.3425;         4188   
      23;    36.2177;         4130   
      24;    37.0930;         4068   
      25;    37.9683;         3941   
      26;    38.8436;         4043   
      27;    39.7188;         3922   
      28;    40.5941;         4009   
      29;    41.4694;         4147   
      30;    42.3447;         4030   
      31;    43.2199;         4065   
      32;    44.0952;         3950   
      33;    44.9705;         3929   
      34;    45.8458;         4012   
      35;    46.7210;         3953   
      36;    47.5963;         4074   
      37;    48.4716;         3874   
      38;    49.3469;         4002   
      39;    50.2221;         3896   
      40;    51.0974;         3917   
      41;    51.9727;         3931   
      42;    52.8480;         3886   
      43;    53.7232;         3866   
      44;    54.5985;         3906   
      45;    55.4738;         3843   
      46;    56.3491;         3892   
      47;    57.2243;         3895   
      48;    58.0996;         3880   
      49;    58.9749;         3869   
      50;    59.8502;         3988   
      51;    60.7254;         3816   
      52;    61.6007;         4047   
      53;    62.4760;         3779   
      54;    63.3513;         3937   
      55;    64.2265;         3926   
      56;    65.1018;         3899   
      57;    65.9771;         4009   
      58;    66.8524;         3978   
      59;    67.7276;         3873   
      60;    68.6029;         4013   
      61;    69.4782;         3824   
      62;    70.3535;         3899   
      63;    71.2287;         3940   
      64;    72.1040;         3886   
      65;    72.9793;         3945   
      66;    73.8546;         4104   
      67;    74.7298;         4260   
      68;    75.6051;         4259   
      69;    76.4804;         4422   
      70;    77.3557;         4363   
      71;    78.2309;         4090   
      72;    79.1062;         3904   
      73;    79.9815;         3871   
      74;    80.8568;         4093   
      75;    81.7320;         3994   
      76;    82.6073;         4061   
      77;    83.4826;         4058   
      78;    84.3579;         4138   
      79;    85.2331;         4145   
      80;    86.1084;         4226   
      81;    86.9837;         4252   
      82;    87.8590;         4140   
      83;    88.7342;         4062   
