Kanal;   Energie(keV); Impulse
       1;    16.9617;         7838   
       2;    17.8370;         7106   
       3;    18.7122;         6692   
       4;    19.5875;         6620   
       5;    20.4628;         6477   
       6;    21.3381;         6389   
       7;    22.2133;         6358   
       8;    23.0886;         6220   
       9;    23.9639;         6012   
      10;    24.8392;         5957   
      11;    25.7144;         5876   
      12;    26.5897;         5811   
      13;    27.4650;         5885   
      14;    28.3403;         5799   
      15;    29.2155;         5708   
      16;    30.0908;         5771   
      17;    30.9661;         5699   
      18;    31.8414;         5640   
      19;    32.7166;         5692   
      20;    33.5919;         5596   
      21;    34.4672;         5654   
      22;    35.3425;         5680   
      23;    36.2177;         5653   
      24;    37.0930;         5493   
      25;    37.9683;         5427   
      26;    38.8436;         5437   
      27;    39.7188;         5462   
      28;    40.5941;         5451   
      29;    41.4694;         5621   
      30;    42.3447;         5599   
      31;    43.2199;         4983   
      32;    44.0952;         4668   
      33;    44.9705;         4679   
      34;    45.8458;         4567   
      35;    46.7210;         4968   
      36;    47.5963;         5239   
      37;    48.4716;         5075   
      38;    49.3469;         4723   
      39;    50.2221;         4419   
      40;    51.0974;         4260   
      41;    51.9727;         4315   
      42;    52.8480;         4193   
      43;    53.7232;         4158   
      44;    54.5985;         4102   
      45;    55.4738;         4192   
      46;    56.3491;         4089   
      47;    57.2243;         4207   
      48;    58.0996;         4072   
      49;    58.9749;         4027   
      50;    59.8502;         4017   
      51;    60.7254;         4051   
      52;    61.6007;         3954   
      53;    62.4760;         4090   
      54;    63.3513;         4140   
      55;    64.2265;         4062   
      56;    65.1018;         4135   
      57;    65.9771;         4141   
      58;    66.8524;         4111   
      59;    67.7276;         4148   
      60;    68.6029;         3991   
      61;    69.4782;         4147   
      62;    70.3535;         4144   
      63;    71.2287;         4168   
      64;    72.1040;         4225   
      65;    72.9793;         4166   
      66;    73.8546;         4293   
      67;    74.7298;         4565   
      68;    75.6051;         4647   
      69;    76.4804;         4636   
      70;    77.3557;         5052   
      71;    78.2309;         4878   
      72;    79.1062;         4505   
      73;    79.9815;         4415   
      74;    80.8568;         4426   
      75;    81.7320;         4462   
      76;    82.6073;         4460   
      77;    83.4826;         4604   
      78;    84.3579;         4531   
      79;    85.2331;         4951   
      80;    86.1084;         5118   
      81;    86.9837;         5543   
      82;    87.8590;         5667   
      83;    88.7342;         5405   
      84;    89.6095;         5716   
      85;    90.4848;         5712   
      86;    91.3601;         5615   
      87;    92.2353;         5738   
      88;    93.1106;         5751   
      89;    93.9859;         5986   
      90;    94.8612;         6080   
      91;    95.7364;         6100   
      92;    96.6117;         6288   
      93;    97.4870;         6145   
      94;    98.3623;         6307   
      95;    99.2375;         6413   
      96;   100.1128;         6379   
      97;   100.9881;         6477   
      98;   101.8634;         6550   
      99;   102.7386;         6601   
     100;   103.6139;         6674   
     101;   104.4892;         6820   
     102;   105.3645;         6863   
     103;   106.2397;         6974   
     104;   107.1150;         7035   
     105;   107.9903;         7162   
     106;   108.8656;         7269   
     107;   109.7408;         7378   
     108;   110.6161;         7446   
     109;   111.4914;         7552   
     110;   112.3667;         7474   
     111;   113.2419;         7865   
     112;   114.1172;         7757   
     113;   114.9925;         8039   
     114;   115.8678;         7937   
     115;   116.7430;         8244   
     116;   117.6183;         8403   
     117;   118.4936;         8549   
     118;   119.3689;         9060   
     119;   120.2441;         9762   
     120;   121.1194;        11551   
     121;   121.9947;        15905   
     122;   122.8700;        26669   
     123;   123.7452;        72501   
     124;   124.6205;       163214   
     125;   125.4958;       128869   
     126;   126.3711;        39351   
     127;   127.2463;        12918   
     128;   128.1216;         8828   
     129;   128.9969;         7781   
     130;   129.8722;         7085   
     131;   130.7474;         6467   
     132;   131.6227;         5989   
     133;   132.4980;         5632   
     134;   133.3733;         5420   
     135;   134.2485;         5358   
     136;   135.1238;         5227   
     137;   135.9991;         5087   
     138;   136.8744;         5122   
     139;   137.7496;         5029   
     140;   138.6249;         5008   
     141;   139.5002;         5101   
     142;   140.3755;         5033   
     143;   141.2507;         5016   
     144;   142.1260;         4889   
     145;   143.0013;         4986   
     146;   143.8766;         5014   
     147;   144.7518;         4965   
     148;   145.6271;         5054   
     149;   146.5024;         5078   
     150;   147.3777;         5198   
     151;   148.2529;         5121   
     152;   149.1282;         5195   
     153;   150.0035;         5292   
     154;   150.8788;         5339   
     155;   151.7540;         5399   
     156;   152.6293;         5394   
     157;   153.5046;         5330   
     158;   154.3799;         5168   
     159;   155.2551;         5146   
     160;   156.1304;         5281   
     161;   157.0057;         5374   
     162;   157.8810;         5239   
     163;   158.7562;         5217   
     164;   159.6315;         5330   
     165;   160.5068;         5302   
     166;   161.3821;         5361   
     167;   162.2573;         5175   
     168;   163.1326;         5282   
     169;   164.0079;         5299   
     170;   164.8832;         5218   
     171;   165.7584;         5482   
     172;   166.6337;         5383   
     173;   167.5090;         5387   
     174;   168.3843;         5413   
     175;   169.2595;         5340   
     176;   170.1348;         5467   
     177;   171.0101;         5252   
     178;   171.8854;         5203   
     179;   172.7606;         5438   
     180;   173.6359;         5387   
     181;   174.5112;         5301   
     182;   175.3865;         5442   
     183;   176.2617;         5353   
     184;   177.1370;         5481   
     185;   178.0123;         5460   
     186;   178.8876;         5505   
     187;   179.7628;         5464   
     188;   180.6381;         5469   
     189;   181.5134;         5449   
     190;   182.3887;         5474   
     191;   183.2639;         5480   
     192;   184.1392;         5497   
     193;   185.0145;         5397   
     194;   185.8898;         5488   
     195;   186.7650;         5614   
     196;   187.6403;         5472   
     197;   188.5156;         5579   
     198;   189.3909;         5618   
     199;   190.2661;         5535   
     200;   191.1414;         5613   
     201;   192.0167;         5585   
     202;   192.8920;         5671   
     203;   193.7672;         5801   
     204;   194.6425;         5599   
     205;   195.5178;         5575   
     206;   196.3931;         5687   
     207;   197.2683;         5578   
     208;   198.1436;         5522   
     209;   199.0189;         5606   
     210;   199.8942;         5527   
     211;   200.7694;         5396   
     212;   201.6447;         5278   
     213;   202.5200;         5271   
     214;   203.3953;         5005   
     215;   204.2705;         5034   
     216;   205.1458;         5006   
     217;   206.0211;         4966   
     218;   206.8964;         4847   
     219;   207.7716;         5013   
     220;   208.6469;         4873   
     221;   209.5222;         4916   
     222;   210.3975;         4830   
     223;   211.2727;         4849   
     224;   212.1480;         5004   
     225;   213.0233;         4914   
     226;   213.8986;         4871   
     227;   214.7738;         4843   
     228;   215.6491;         4936   
     229;   216.5244;         5078   
     230;   217.3997;         4920   
     231;   218.2749;         4856   
     232;   219.1502;         4837   
