Kanal;   Energie(keV); Impulse
       1;    16.9617;          627   
       2;    17.8370;          612   
       3;    18.7122;          662   
       4;    19.5875;          615   
       5;    20.4628;          577   
       6;    21.3381;          539   
       7;    22.2133;          569   
       8;    23.0886;          566   
       9;    23.9639;          572   
      10;    24.8392;          522   
      11;    25.7144;          486   
      12;    26.5897;          470   
      13;    27.4650;          469   
      14;    28.3403;          474   
      15;    29.2155;          462   
      16;    30.0908;          439   
      17;    30.9661;          483   
      18;    31.8414;          445   
      19;    32.7166;          480   
      20;    33.5919;          479   
      21;    34.4672;          487   
      22;    35.3425;          445   
      23;    36.2177;          410   
      24;    37.0930;          444   
      25;    37.9683;          463   
      26;    38.8436;          472   
      27;    39.7188;          453   
      28;    40.5941;          450   
      29;    41.4694;          530   
      30;    42.3447;          545   
      31;    43.2199;          564   
      32;    44.0952;          453   
      33;    44.9705;          429   
      34;    45.8458;          393   
      35;    46.7210;          473   
      36;    47.5963;          546   
      37;    48.4716;          564   
      38;    49.3469;          477   
      39;    50.2221;          373   
      40;    51.0974;          389   
      41;    51.9727;          360   
      42;    52.8480;          384   
      43;    53.7232;          403   
      44;    54.5985;          352   
      45;    55.4738;          325   
      46;    56.3491;          355   
      47;    57.2243;          347   
      48;    58.0996;          360   
      49;    58.9749;          357   
      50;    59.8502;          359   
      51;    60.7254;          390   
      52;    61.6007;          363   
      53;    62.4760;          365   
      54;    63.3513;          383   
      55;    64.2265;          346   
      56;    65.1018;          385   
      57;    65.9771;          417   
      58;    66.8524;          414   
      59;    67.7276;          433   
      60;    68.6029;          391   
      61;    69.4782;          432   
      62;    70.3535;          421   
      63;    71.2287;          431   
      64;    72.1040;          424   
      65;    72.9793;          505   
      66;    73.8546;          481   
      67;    74.7298;          702   
      68;    75.6051;         1059   
      69;    76.4804;          970   
      70;    77.3557;         1459   
      71;    78.2309;         1284   
      72;    79.1062;          634   
      73;    79.9815;          513   
      74;    80.8568;          526   
      75;    81.7320;          510   
      76;    82.6073;          540   
      77;    83.4826;          577   
      78;    84.3579;          569   
      79;    85.2331;          671   
      80;    86.1084;          811   
      81;    86.9837;         1102   
      82;    87.8590;         1189   
      83;    88.7342;          974   
      84;    89.6095;          829   
      85;    90.4848;          772   
      86;    91.3601;          718   
      87;    92.2353;          681   
      88;    93.1106;          610   
      89;    93.9859;          599   
      90;    94.8612;          663   
      91;    95.7364;          680   
      92;    96.6117;          679   
      93;    97.4870;          662   
      94;    98.3623;          642   
      95;    99.2375;          632   
      96;   100.1128;          668   
      97;   100.9881;          596   
      98;   101.8634;          666   
      99;   102.7386;          579   
     100;   103.6139;          628   
     101;   104.4892;          661   
     102;   105.3645;          671   
     103;   106.2397;          617   
     104;   107.1150;          651   
     105;   107.9903;          594   
     106;   108.8656;          652   
     107;   109.7408;          632   
     108;   110.6161;          659   
     109;   111.4914;          642   
     110;   112.3667;          631   
     111;   113.2419;          627   
     112;   114.1172;          670   
     113;   114.9925;          639   
     114;   115.8678;          650   
     115;   116.7430;          673   
     116;   117.6183;          609   
     117;   118.4936;          646   
     118;   119.3689;          639   
     119;   120.2441;          665   
     120;   121.1194;          640   
     121;   121.9947;          679   
     122;   122.8700;          880   
     123;   123.7452;         4228   
     124;   124.6205;        11650   
     125;   125.4958;         7306   
     126;   126.3711;         1490   
     127;   127.2463;          582   
     128;   128.1216;          590   
     129;   128.9969;          541   
     130;   129.8722;          528   
     131;   130.7474;          520   
     132;   131.6227;          527   
     133;   132.4980;          565   
     134;   133.3733;          536   
     135;   134.2485;          547   
     136;   135.1238;          526   
     137;   135.9991;          500   
     138;   136.8744;          519   
     139;   137.7496;          501   
     140;   138.6249;          516   
     141;   139.5002;          536   
     142;   140.3755;          523   
     143;   141.2507;          540   
     144;   142.1260;          519   
     145;   143.0013;          486   
     146;   143.8766;          504   
     147;   144.7518;          454   
     148;   145.6271;          487   
     149;   146.5024;          498   
     150;   147.3777;          470   
     151;   148.2529;          526   
     152;   149.1282;          534   
     153;   150.0035;          558   
     154;   150.8788;          501   
     155;   151.7540;          563   
     156;   152.6293;          566   
     157;   153.5046;          516   
     158;   154.3799;          516   
     159;   155.2551;          564   
     160;   156.1304;          552   
     161;   157.0057;          531   
     162;   157.8810;          521   
     163;   158.7562;          520   
     164;   159.6315;          534   
     165;   160.5068;          529   
     166;   161.3821;          471   
     167;   162.2573;          501   
     168;   163.1326;          500   
     169;   164.0079;          502   
     170;   164.8832;          492   
     171;   165.7584;          516   
     172;   166.6337;          531   
     173;   167.5090;          464   
     174;   168.3843;          489   
     175;   169.2595;          472   
     176;   170.1348;          472   
     177;   171.0101;          469   
     178;   171.8854;          475   
     179;   172.7606;          532   
     180;   173.6359;          495   
     181;   174.5112;          493   
     182;   175.3865;          480   
     183;   176.2617;          474   
     184;   177.1370;          482   
     185;   178.0123;          479   
     186;   178.8876;          481   
     187;   179.7628;          484   
     188;   180.6381;          504   
     189;   181.5134;          440   
     190;   182.3887;          441   
     191;   183.2639;          455   
     192;   184.1392;          446   
