Kanal;   Energie(keV); Impulse
       1;    16.9617;          526   
       2;    17.8370;          521   
       3;    18.7122;          512   
       4;    19.5875;          504   
       5;    20.4628;          474   
       6;    21.3381;          444   
       7;    22.2133;          466   
       8;    23.0886;          476   
       9;    23.9639;          471   
      10;    24.8392;          455   
      11;    25.7144;          433   
      12;    26.5897;          455   
      13;    27.4650;          432   
      14;    28.3403;          428   
      15;    29.2155;          422   
      16;    30.0908;          371   
      17;    30.9661;          414   
      18;    31.8414;          372   
      19;    32.7166;          405   
      20;    33.5919;          360   
      21;    34.4672;          401   
      22;    35.3425;          402   
      23;    36.2177;          391   
      24;    37.0930;          375   
      25;    37.9683;          389   
      26;    38.8436;          355   
      27;    39.7188;          347   
      28;    40.5941;          372   
      29;    41.4694;          348   
      30;    42.3447;          388   
      31;    43.2199;          317   
      32;    44.0952;          400   
      33;    44.9705;          386   
      34;    45.8458;          370   
      35;    46.7210;          313   
      36;    47.5963;          351   
      37;    48.4716;          367   
      38;    49.3469;          374   
      39;    50.2221;          350   
      40;    51.0974;          351   
      41;    51.9727;          358   
      42;    52.8480;          361   
      43;    53.7232;          355   
      44;    54.5985;          364   
      45;    55.4738;          372   
      46;    56.3491;          350   
      47;    57.2243;          351   
      48;    58.0996;          348   
      49;    58.9749;          316   
      50;    59.8502;          347   
      51;    60.7254;          397   
      52;    61.6007;          395   
      53;    62.4760;          360   
      54;    63.3513;          361   
      55;    64.2265;          362   
      56;    65.1018;          371   
      57;    65.9771;          367   
      58;    66.8524;          369   
      59;    67.7276;          404   
      60;    68.6029;          371   
      61;    69.4782;          365   
      62;    70.3535;          406   
      63;    71.2287;          388   
      64;    72.1040;          456   
      65;    72.9793;          402   
      66;    73.8546;          439   
      67;    74.7298;          482   
      68;    75.6051;          609   
      69;    76.4804;          671   
      70;    77.3557;          709   
      71;    78.2309;          894   
      72;    79.1062;          610   
      73;    79.9815;          468   
      74;    80.8568;          395   
      75;    81.7320;          404   
      76;    82.6073;          432   
      77;    83.4826;          432   
      78;    84.3579;          446   
      79;    85.2331;          438   
      80;    86.1084;          456   
      81;    86.9837;          558   
      82;    87.8590;          695   
      83;    88.7342;          644   
      84;    89.6095;          484   
      85;    90.4848;          537   
      86;    91.3601;          536   
      87;    92.2353;          466   
      88;    93.1106;          442   
      89;    93.9859;          439   
      90;    94.8612;          415   
      91;    95.7364;          473   
      92;    96.6117;          466   
      93;    97.4870;          459   
      94;    98.3623;          457   
      95;    99.2375;          471   
      96;   100.1128;          450   
      97;   100.9881;          470   
      98;   101.8634;          449   
      99;   102.7386;          454   
     100;   103.6139;          500   
     101;   104.4892;          468   
     102;   105.3645;          462   
     103;   106.2397;          494   
     104;   107.1150;          506   
     105;   107.9903;          464   
     106;   108.8656;          463   
     107;   109.7408;          479   
     108;   110.6161;          458   
     109;   111.4914;          462   
     110;   112.3667;          460   
     111;   113.2419;          470   
     112;   114.1172;          451   
     113;   114.9925;          525   
     114;   115.8678;          499   
     115;   116.7430;          486   
     116;   117.6183;          484   
     117;   118.4936;          504   
     118;   119.3689;          466   
     119;   120.2441;          469   
     120;   121.1194;          477   
     121;   121.9947;          491   
     122;   122.8700;          511   
     123;   123.7452;          476   
     124;   124.6205;          477   
     125;   125.4958;          495   
     126;   126.3711;          504   
     127;   127.2463;          474   
     128;   128.1216;          518   
     129;   128.9969;          518   
     130;   129.8722;          521   
     131;   130.7474;          476   
     132;   131.6227;          546   
     133;   132.4980;          460   
     134;   133.3733;          487   
     135;   134.2485;          484   
     136;   135.1238;          476   
     137;   135.9991;          534   
     138;   136.8744;          511   
     139;   137.7496;          483   
     140;   138.6249;          506   
     141;   139.5002;          469   
     142;   140.3755;          516   
     143;   141.2507;          487   
     144;   142.1260;          522   
     145;   143.0013;          474   
     146;   143.8766;          520   
     147;   144.7518;          483   
     148;   145.6271;          502   
     149;   146.5024;          459   
     150;   147.3777;          442   
     151;   148.2529;          472   
     152;   149.1282;          483   
     153;   150.0035;          501   
     154;   150.8788;          507   
     155;   151.7540;          464   
     156;   152.6293;          489   
     157;   153.5046;          484   
     158;   154.3799;          464   
     159;   155.2551;          482   
     160;   156.1304;          491   
     161;   157.0057;          477   
     162;   157.8810;          473   
     163;   158.7562;          488   
     164;   159.6315;          472   
     165;   160.5068;          503   
     166;   161.3821;          530   
     167;   162.2573;          507   
     168;   163.1326;          470   
     169;   164.0079;          505   
     170;   164.8832;          459   
     171;   165.7584;          506   
     172;   166.6337;          486   
     173;   167.5090;          502   
     174;   168.3843;          518   
     175;   169.2595;          498   
     176;   170.1348;          532   
     177;   171.0101;          541   
     178;   171.8854;          521   
     179;   172.7606;          491   
     180;   173.6359;          537   
     181;   174.5112;          584   
     182;   175.3865;          596   
     183;   176.2617;          678   
     184;   177.1370;          665   
     185;   178.0123;          658   
     186;   178.8876;          617   
     187;   179.7628;          606   
     188;   180.6381;          605   
     189;   181.5134;          604   
     190;   182.3887;          573   
     191;   183.2639;          599   
     192;   184.1392;          617   
     193;   185.0145;          540   
     194;   185.8898;          562   
     195;   186.7650;          571   
     196;   187.6403;          540   
     197;   188.5156;          522   
     198;   189.3909;          537   
     199;   190.2661;          562   
     200;   191.1414;          553   
     201;   192.0167;          524   
     202;   192.8920;          534   
     203;   193.7672;          525   
     204;   194.6425;          490   
     205;   195.5178;          549   
     206;   196.3931;          506   
     207;   197.2683;          525   
     208;   198.1436;          511   
     209;   199.0189;          530   
     210;   199.8942;          543   
     211;   200.7694;          501   
     212;   201.6447;          497   
     213;   202.5200;          499   
     214;   203.3953;          489   
     215;   204.2705;          444   
     216;   205.1458;          449   
     217;   206.0211;          489   
     218;   206.8964;          454   
     219;   207.7716;          475   
     220;   208.6469;          486   
     221;   209.5222;          440   
     222;   210.3975;          525   
