Kanal;   Energie(keV); Impulse
       1;    16.9617;           84   
       2;    17.8370;           87   
       3;    18.7122;           81   
       4;    19.5875;           96   
       5;    20.4628;           90   
       6;    21.3381;           86   
       7;    22.2133;           72   
       8;    23.0886;           70   
       9;    23.9639;           66   
      10;    24.8392;           76   
      11;    25.7144;           65   
      12;    26.5897;           65   
      13;    27.4650;           71   
      14;    28.3403;           45   
      15;    29.2155;           59   
      16;    30.0908;           59   
      17;    30.9661;           51   
      18;    31.8414;           66   
      19;    32.7166;           51   
      20;    33.5919;           67   
      21;    34.4672;           71   
      22;    35.3425;           61   
      23;    36.2177;           73   
      24;    37.0930;           69   
      25;    37.9683;           58   
      26;    38.8436;           55   
      27;    39.7188;           54   
      28;    40.5941;           56   
      29;    41.4694;           57   
      30;    42.3447;           51   
      31;    43.2199;           42   
      32;    44.0952;           64   
      33;    44.9705;           36   
      34;    45.8458;           42   
      35;    46.7210;           42   
      36;    47.5963;           45   
      37;    48.4716;           39   
      38;    49.3469;           35   
      39;    50.2221;           34   
      40;    51.0974;           34   
      41;    51.9727;           32   
      42;    52.8480;           31   
      43;    53.7232;           39   
      44;    54.5985;           37   
      45;    55.4738;           40   
      46;    56.3491;           38   
      47;    57.2243;           38   
      48;    58.0996;           33   
      49;    58.9749;           32   
      50;    59.8502;           45   
      51;    60.7254;           45   
      52;    61.6007;           31   
      53;    62.4760;           50   
      54;    63.3513;           55   
      55;    64.2265;           37   
      56;    65.1018;           55   
      57;    65.9771;           47   
      58;    66.8524;           41   
      59;    67.7276;           59   
      60;    68.6029;           54   
      61;    69.4782;           55   
      62;    70.3535;           56   
      63;    71.2287;           51   
      64;    72.1040;           49   
      65;    72.9793;           68   
      66;    73.8546;          115   
      67;    74.7298;          189   
      68;    75.6051;          181   
      69;    76.4804;          224   
      70;    77.3557;          325   
      71;    78.2309;          110   
      72;    79.1062;           75   
      73;    79.9815;           58   
      74;    80.8568;           69   
      75;    81.7320;           70   
      76;    82.6073;           79   
      77;    83.4826;           62   
      78;    84.3579;           91   
      79;    85.2331;          103   
      80;    86.1084;          190   
      81;    86.9837;          218   
      82;    87.8590;          171   
      83;    88.7342;          142   
      84;    89.6095;          150   
      85;    90.4848;          134   
      86;    91.3601;          129   
      87;    92.2353;          128   
      88;    93.1106;          115   
      89;    93.9859;          112   
      90;    94.8612;           91   
      91;    95.7364;          118   
      92;    96.6117;          113   
      93;    97.4870;          105   
      94;    98.3623;          125   
      95;    99.2375;          104   
      96;   100.1128;          106   
      97;   100.9881;           97   
      98;   101.8634;          123   
      99;   102.7386;          121   
     100;   103.6139;           98   
     101;   104.4892;          110   
     102;   105.3645;          110   
     103;   106.2397;          104   
     104;   107.1150;           94   
     105;   107.9903;          108   
     106;   108.8656;          111   
     107;   109.7408;          114   
     108;   110.6161;          108   
     109;   111.4914;          117   
     110;   112.3667;           94   
     111;   113.2419;          134   
     112;   114.1172;          121   
     113;   114.9925;          139   
     114;   115.8678;          136   
     115;   116.7430;          132   
     116;   117.6183;          118   
     117;   118.4936;          128   
     118;   119.3689;          143   
     119;   120.2441;          120   
     120;   121.1194;          130   
     121;   121.9947;          163   
     122;   122.8700;         1038   
     123;   123.7452;         3977   
     124;   124.6205;         3282   
     125;   125.4958;          601   
     126;   126.3711;           72   
     127;   127.2463;           53   
     128;   128.1216;           59   
     129;   128.9969;           50   
     130;   129.8722;           74   
     131;   130.7474;           65   
     132;   131.6227;           48   
     133;   132.4980;           43   
     134;   133.3733;           63   
     135;   134.2485;           55   
     136;   135.1238;           56   
     137;   135.9991;           45   
     138;   136.8744;           97   
     139;   137.7496;          382   
     140;   138.6249;          582   
     141;   139.5002;          228   
     142;   140.3755;           73   
     143;   141.2507;           52   
     144;   142.1260;           40   
     145;   143.0013;           43   
     146;   143.8766;           49   
     147;   144.7518;           47   
     148;   145.6271;           50   
     149;   146.5024;           40   
     150;   147.3777;           50   
     151;   148.2529;           37   
     152;   149.1282;           42   
     153;   150.0035;           28   
     154;   150.8788;           38   
     155;   151.7540;           30   
     156;   152.6293;           32   
     157;   153.5046;           37   
     158;   154.3799;           43   
     159;   155.2551;           44   
     160;   156.1304;           44   
     161;   157.0057;           42   
     162;   157.8810;           30   
     163;   158.7562;           39   
     164;   159.6315;           32   
     165;   160.5068;           39   
     166;   161.3821;           46   
     167;   162.2573;           30   
     168;   163.1326;           42   
     169;   164.0079;           34   
     170;   164.8832;           52   
     171;   165.7584;           35   
     172;   166.6337;           34   
     173;   167.5090;           33   
     174;   168.3843;           34   
     175;   169.2595;           31   
     176;   170.1348;           45   
     177;   171.0101;           24   
     178;   171.8854;           31   
     179;   172.7606;           26   
     180;   173.6359;           39   
     181;   174.5112;           41   
     182;   175.3865;           40   
     183;   176.2617;           30   
     184;   177.1370;           38   
     185;   178.0123;           39   
     186;   178.8876;           41   
     187;   179.7628;           34   
     188;   180.6381;           33   
     189;   181.5134;           29   
     190;   182.3887;           33   
     191;   183.2639;           32   
     192;   184.1392;           29   
     193;   185.0145;           30   
     194;   185.8898;           37   
     195;   186.7650;           29   
     196;   187.6403;           23   
     197;   188.5156;           34   
     198;   189.3909;           38   
     199;   190.2661;           43   
     200;   191.1414;           31   
     201;   192.0167;           40   
     202;   192.8920;           31   
     203;   193.7672;           37   
     204;   194.6425;           26   
     205;   195.5178;           24   
     206;   196.3931;           24   
