Kanal;   Energie(keV); Impulse
       1;    16.9617;          549   
       2;    17.8370;          626   
       3;    18.7122;          564   
       4;    19.5875;          505   
       5;    20.4628;          525   
       6;    21.3381;          552   
       7;    22.2133;          497   
       8;    23.0886;          577   
       9;    23.9639;          474   
      10;    24.8392;          493   
      11;    25.7144;          508   
      12;    26.5897;          493   
      13;    27.4650;          460   
      14;    28.3403;          463   
      15;    29.2155;          458   
      16;    30.0908;          428   
      17;    30.9661;          433   
      18;    31.8414;          420   
      19;    32.7166;          428   
      20;    33.5919;          443   
      21;    34.4672;          461   
      22;    35.3425;          432   
      23;    36.2177;          424   
      24;    37.0930;          441   
      25;    37.9683;          433   
      26;    38.8436;          422   
      27;    39.7188;          467   
      28;    40.5941;          402   
      29;    41.4694;          388   
      30;    42.3447;          398   
      31;    43.2199;          436   
      32;    44.0952;          422   
      33;    44.9705;          389   
      34;    45.8458;          398   
      35;    46.7210;          373   
      36;    47.5963;          388   
      37;    48.4716;          377   
      38;    49.3469;          392   
      39;    50.2221;          387   
      40;    51.0974;          424   
      41;    51.9727;          411   
      42;    52.8480;          378   
      43;    53.7232;          396   
      44;    54.5985;          410   
      45;    55.4738;          438   
      46;    56.3491;          408   
      47;    57.2243;          382   
      48;    58.0996;          391   
      49;    58.9749;          403   
      50;    59.8502;          400   
      51;    60.7254;          383   
      52;    61.6007;          410   
      53;    62.4760;          405   
      54;    63.3513;          391   
      55;    64.2265;          450   
      56;    65.1018;          412   
      57;    65.9771;          406   
      58;    66.8524;          390   
      59;    67.7276;          412   
      60;    68.6029;          411   
      61;    69.4782;          438   
      62;    70.3535;          414   
      63;    71.2287;          419   
      64;    72.1040;          391   
      65;    72.9793;          445   
      66;    73.8546;          454   
      67;    74.7298;          511   
      68;    75.6051;          560   
      69;    76.4804;          502   
      70;    77.3557;          711   
      71;    78.2309;          619   
      72;    79.1062;          517   
      73;    79.9815;          481   
      74;    80.8568;          456   
      75;    81.7320;          494   
      76;    82.6073;          472   
      77;    83.4826;          490   
      78;    84.3579;          473   
      79;    85.2331;          477   
      80;    86.1084;          525   
      81;    86.9837;          570   
      82;    87.8590;          630   
      83;    88.7342;          517   
      84;    89.6095;          548   
      85;    90.4848;          562   
      86;    91.3601;          544   
      87;    92.2353;          545   
      88;    93.1106;          473   
      89;    93.9859;          513   
      90;    94.8612;          507   
      91;    95.7364;          503   
      92;    96.6117;          502   
      93;    97.4870;          503   
      94;    98.3623;          515   
      95;    99.2375;          511   
      96;   100.1128;          499   
      97;   100.9881;          503   
      98;   101.8634;          553   
      99;   102.7386;          534   
     100;   103.6139;          538   
     101;   104.4892;          552   
     102;   105.3645;          490   
     103;   106.2397;          545   
     104;   107.1150;          503   
     105;   107.9903;          526   
     106;   108.8656;          524   
     107;   109.7408;          515   
     108;   110.6161;          503   
     109;   111.4914;          546   
     110;   112.3667;          510   
     111;   113.2419;          523   
     112;   114.1172;          530   
     113;   114.9925;          540   
     114;   115.8678;          537   
     115;   116.7430;          513   
     116;   117.6183;          521   
     117;   118.4936;          509   
     118;   119.3689;          547   
     119;   120.2441;          575   
     120;   121.1194;          546   
     121;   121.9947;          519   
     122;   122.8700;          525   
     123;   123.7452;          533   
     124;   124.6205;          546   
     125;   125.4958;          532   
     126;   126.3711;          530   
     127;   127.2463;          541   
     128;   128.1216;          494   
     129;   128.9969;          518   
     130;   129.8722;          537   
     131;   130.7474;          526   
     132;   131.6227;          535   
     133;   132.4980;          487   
     134;   133.3733;          532   
     135;   134.2485;          499   
     136;   135.1238;          545   
     137;   135.9991;          541   
     138;   136.8744;          556   
     139;   137.7496;          498   
     140;   138.6249;          526   
     141;   139.5002;          569   
     142;   140.3755;          523   
     143;   141.2507;          502   
     144;   142.1260;          505   
     145;   143.0013;          478   
     146;   143.8766;          491   
     147;   144.7518;          491   
     148;   145.6271;          485   
     149;   146.5024;          497   
     150;   147.3777;          537   
     151;   148.2529;          519   
     152;   149.1282;          484   
     153;   150.0035;          488   
     154;   150.8788;          470   
     155;   151.7540;          492   
     156;   152.6293;          475   
     157;   153.5046;          504   
     158;   154.3799;          499   
     159;   155.2551;          506   
     160;   156.1304;          470   
     161;   157.0057;          473   
     162;   157.8810;          492   
     163;   158.7562;          476   
     164;   159.6315;          494   
     165;   160.5068;          473   
     166;   161.3821;          513   
     167;   162.2573;          481   
     168;   163.1326;          458   
     169;   164.0079;          467   
     170;   164.8832;          475   
     171;   165.7584;          505   
     172;   166.6337;          520   
     173;   167.5090;          452   
     174;   168.3843;          490   
     175;   169.2595;          486   
     176;   170.1348;          445   
     177;   171.0101;          457   
     178;   171.8854;          451   
     179;   172.7606;          512   
     180;   173.6359;          490   
     181;   174.5112;          531   
     182;   175.3865;          461   
     183;   176.2617;          471   
     184;   177.1370;          498   
     185;   178.0123;          549   
     186;   178.8876;          538   
     187;   179.7628;          502   
     188;   180.6381;          489   
     189;   181.5134;          477   
     190;   182.3887;          480   
     191;   183.2639;          522   
     192;   184.1392;          516   
     193;   185.0145;          504   
     194;   185.8898;          474   
     195;   186.7650;          484   
     196;   187.6403;          485   
     197;   188.5156;          478   
     198;   189.3909;          528   
     199;   190.2661;          528   
     200;   191.1414;          446   
     201;   192.0167;          497   
     202;   192.8920;          473   
     203;   193.7672;          464   
     204;   194.6425;          497   
     205;   195.5178;          484   
     206;   196.3931;          452   
     207;   197.2683;          482   
     208;   198.1436;          446   
     209;   199.0189;          490   
     210;   199.8942;          500   
     211;   200.7694;          450   
     212;   201.6447;          479   
     213;   202.5200;          487   
     214;   203.3953;          454   
     215;   204.2705;          464   
     216;   205.1458;          460   
     217;   206.0211;          468   
     218;   206.8964;          455   
     219;   207.7716;          439   
     220;   208.6469;          433   
     221;   209.5222;          451   
     222;   210.3975;          463   
     223;   211.2727;          482   
     224;   212.1480;          447   
     225;   213.0233;          451   
     226;   213.8986;          445   
     227;   214.7738;          452   
     228;   215.6491;          437   
     229;   216.5244;          458   
     230;   217.3997;          417   
     231;   218.2749;          482   
     232;   219.1502;          480   
     233;   220.0255;          435   
     234;   220.9008;          436   
     235;   221.7760;          423   
     236;   222.6513;          423   
     237;   223.5266;          444   
     238;   224.4019;          462   
     239;   225.2771;          458   
     240;   226.1524;          433   
     241;   227.0277;          444   
     242;   227.9030;          468   
     243;   228.7782;          444   
     244;   229.6535;          484   
     245;   230.5288;          417   
     246;   231.4041;          441   
     247;   232.2793;          416   
     248;   233.1546;          428   
     249;   234.0299;          426   
     250;   234.9052;          420   
     251;   235.7804;          435   
     252;   236.6557;          419   
     253;   237.5310;          437   
     254;   238.4063;          426   
     255;   239.2815;          436   
     256;   240.1568;          440   
     257;   241.0321;          444   
     258;   241.9074;          479   
     259;   242.7826;          560   
     260;   243.6579;          460   
     261;   244.5332;          436   
     262;   245.4085;          487   
     263;   246.2837;          437   
     264;   247.1590;          446   
     265;   248.0343;          404   
     266;   248.9096;          391   
     267;   249.7848;          417   
     268;   250.6601;          398   
     269;   251.5354;          414   
     270;   252.4107;          396   
     271;   253.2859;          421   
     272;   254.1612;          403   
     273;   255.0365;          424   
     274;   255.9118;          388   
     275;   256.7870;          421   
     276;   257.6623;          428   
     277;   258.5376;          395   
     278;   259.4129;          412   
     279;   260.2881;          377   
     280;   261.1634;          395   
     281;   262.0387;          403   
     282;   262.9140;          415   
     283;   263.7892;          447   
     284;   264.6645;          367   
     285;   265.5398;          407   
     286;   266.4151;          409   
     287;   267.2903;          386   
     288;   268.1656;          430   
     289;   269.0409;          391   
     290;   269.9162;          454   
     291;   270.7914;          414   
     292;   271.6667;          394   
     293;   272.5420;          394   
     294;   273.4173;          458   
     295;   274.2925;          416   
     296;   275.1678;          438   
     297;   276.0431;          417   
     298;   276.9184;          387   
     299;   277.7936;          373   
     300;   278.6689;          364   
     301;   279.5442;          413   
     302;   280.4195;          400   
     303;   281.2947;          432   
     304;   282.1700;          406   
     305;   283.0453;          418   
     306;   283.9206;          407   
     307;   284.7958;          400   
     308;   285.6711;          371   
     309;   286.5464;          392   
     310;   287.4217;          453   
     311;   288.2969;          414   
     312;   289.1722;          412   
     313;   290.0475;          403   
     314;   290.9228;          411   
     315;   291.7980;          364   
     316;   292.6733;          368   
     317;   293.5486;          414   
     318;   294.4239;          380   
     319;   295.2991;          422   
     320;   296.1744;          409   
     321;   297.0497;          459   
     322;   297.9250;          413   
     323;   298.8002;          407   
     324;   299.6755;          470   
     325;   300.5508;          432   
     326;   301.4261;          437   
     327;   302.3013;          393   
     328;   303.1766;          421   
     329;   304.0519;          433   
     330;   304.9272;          410   
