Kanal;   Energie(keV); Impulse
       1;    16.9617;          826   
       2;    17.8370;          817   
       3;    18.7122;          945   
       4;    19.5875;          888   
       5;    20.4628;         1001   
       6;    21.3381;         1016   
       7;    22.2133;         1191   
       8;    23.0886;         1214   
       9;    23.9639;         1325   
      10;    24.8392;         1493   
      11;    25.7144;         1531   
      12;    26.5897;         1745   
      13;    27.4650;         1935   
      14;    28.3403;         2023   
      15;    29.2155;         2163   
      16;    30.0908;         2309   
      17;    30.9661;         2340   
      18;    31.8414;         2158   
      19;    32.7166;         2262   
      20;    33.5919;         2206   
      21;    34.4672;         2261   
      22;    35.3425;         2184   
      23;    36.2177;         2071   
      24;    37.0930;         2089   
      25;    37.9683;         1964   
      26;    38.8436;         2047   
      27;    39.7188;         2091   
      28;    40.5941;         1873   
      29;    41.4694;         1843   
      30;    42.3447;         1866   
      31;    43.2199;         1860   
      32;    44.0952;         1844   
      33;    44.9705;         1840   
      34;    45.8458;         1868   
      35;    46.7210;         1784   
      36;    47.5963;         1934   
      37;    48.4716;         1756   
      38;    49.3469;         1686   
      39;    50.2221;         1693   
      40;    51.0974;         1641   
      41;    51.9727;         1693   
      42;    52.8480;         1634   
      43;    53.7232;         1665   
      44;    54.5985;         1522   
      45;    55.4738;         1615   
      46;    56.3491;         1516   
      47;    57.2243;         1478   
      48;    58.0996;         1521   
      49;    58.9749;         1419   
      50;    59.8502;         1383   
      51;    60.7254;         1393   
      52;    61.6007;         1346   
      53;    62.4760;         1404   
      54;    63.3513;         1319   
      55;    64.2265;         1327   
      56;    65.1018;         1300   
      57;    65.9771;         1191   
      58;    66.8524;         1224   
      59;    67.7276;         1172   
      60;    68.6029;         1201   
      61;    69.4782;         1185   
      62;    70.3535;         1188   
      63;    71.2287;         1142   
      64;    72.1040;         1189   
      65;    72.9793;         1129   
      66;    73.8546;         1158   
      67;    74.7298;         1070   
      68;    75.6051;         1080   
      69;    76.4804;         1072   
      70;    77.3557;         1039   
      71;    78.2309;         1044   
      72;    79.1062;         1064   
      73;    79.9815;          953   
      74;    80.8568;          957   
      75;    81.7320;          920   
      76;    82.6073;          881   
      77;    83.4826;          964   
      78;    84.3579;          916   
      79;    85.2331;          866   
      80;    86.1084;          936   
      81;    86.9837;          928   
      82;    87.8590;          873   
      83;    88.7342;          918   
      84;    89.6095;          891   
      85;    90.4848;          892   
      86;    91.3601;          857   
      87;    92.2353;          852   
      88;    93.1106;          839   
      89;    93.9859;          790   
      90;    94.8612;          785   
      91;    95.7364;          761   
      92;    96.6117;          740   
      93;    97.4870;          682   
      94;    98.3623;          740   
      95;    99.2375;          657   
      96;   100.1128;          659   
      97;   100.9881;          618   
      98;   101.8634;          595   
      99;   102.7386;          602   
     100;   103.6139;          615   
     101;   104.4892;          592   
     102;   105.3645;          597   
     103;   106.2397;          539   
     104;   107.1150;          607   
     105;   107.9903;          554   
     106;   108.8656;          536   
     107;   109.7408;          504   
     108;   110.6161;          550   
     109;   111.4914;          517   
     110;   112.3667;          516   
     111;   113.2419;          502   
     112;   114.1172;          479   
     113;   114.9925;          465   
     114;   115.8678;          479   
     115;   116.7430;          491   
     116;   117.6183;          455   
     117;   118.4936;          436   
     118;   119.3689;          472   
     119;   120.2441;          472   
     120;   121.1194;          440   
     121;   121.9947;          453   
     122;   122.8700;          435   
     123;   123.7452;          386   
     124;   124.6205;          419   
     125;   125.4958;          428   
     126;   126.3711;          406   
     127;   127.2463;          387   
     128;   128.1216;          376   
     129;   128.9969;          377   
     130;   129.8722;          411   
     131;   130.7474;          427   
     132;   131.6227;          398   
     133;   132.4980;          379   
     134;   133.3733;          402   
     135;   134.2485;          327   
     136;   135.1238;          346   
     137;   135.9991;          365   
     138;   136.8744;          345   
     139;   137.7496;          328   
     140;   138.6249;          321   
     141;   139.5002;          309   
     142;   140.3755;          341   
     143;   141.2507;          323   
     144;   142.1260;          289   
     145;   143.0013;          292   
     146;   143.8766;          276   
     147;   144.7518;          269   
     148;   145.6271;          284   
     149;   146.5024;          257   
     150;   147.3777;          290   
     151;   148.2529;          279   
     152;   149.1282;          278   
     153;   150.0035;          280   
     154;   150.8788;          244   
     155;   151.7540;          247   
     156;   152.6293;          285   
     157;   153.5046;          229   
     158;   154.3799;          221   
     159;   155.2551;          230   
     160;   156.1304;          229   
     161;   157.0057;          208   
     162;   157.8810;          225   
     163;   158.7562;          228   
     164;   159.6315;          230   
     165;   160.5068;          237   
     166;   161.3821;          223   
     167;   162.2573;          210   
     168;   163.1326;          201   
     169;   164.0079;          214   
     170;   164.8832;          203   
     171;   165.7584;          206   
     172;   166.6337;          210   
     173;   167.5090;          199   
     174;   168.3843;          216   
     175;   169.2595;          186   
     176;   170.1348;          194   
     177;   171.0101;          204   
     178;   171.8854;          213   
     179;   172.7606;          193   
     180;   173.6359;          222   
     181;   174.5112;          237   
     182;   175.3865;          189   
     183;   176.2617;          224   
     184;   177.1370;          194   
     185;   178.0123;          211   
     186;   178.8876;          207   
     187;   179.7628;          196   
     188;   180.6381;          198   
     189;   181.5134;          191   
     190;   182.3887;          173   
     191;   183.2639;          178   
     192;   184.1392;          211   
     193;   185.0145;          179   
     194;   185.8898;          187   
     195;   186.7650;          200   
     196;   187.6403;          211   
     197;   188.5156;          190   
     198;   189.3909;          183   
     199;   190.2661;          205   
     200;   191.1414;          192   
     201;   192.0167;          181   
     202;   192.8920;          214   
     203;   193.7672;          172   
     204;   194.6425;          188   
     205;   195.5178;          184   
     206;   196.3931;          170   
     207;   197.2683;          167   
     208;   198.1436;          177   
     209;   199.0189;          163   
     210;   199.8942;          161   
     211;   200.7694;          169   
     212;   201.6447;          200   
     213;   202.5200;          163   
     214;   203.3953;          166   
     215;   204.2705;          189   
     216;   205.1458;          144   
     217;   206.0211;          165   
     218;   206.8964;          152   
     219;   207.7716;          170   
     220;   208.6469;          161   
     221;   209.5222;          143   
     222;   210.3975;          140   
     223;   211.2727;          146   
     224;   212.1480;          129   
     225;   213.0233;          165   
     226;   213.8986;          165   
     227;   214.7738;          141   
     228;   215.6491;          141   
     229;   216.5244;          147   
     230;   217.3997;          162   
     231;   218.2749;          151   
     232;   219.1502;          153   
     233;   220.0255;          149   
     234;   220.9008;          159   
     235;   221.7760;          153   
     236;   222.6513;          158   
     237;   223.5266;          143   
     238;   224.4019;          163   
     239;   225.2771;          138   
     240;   226.1524;          132   
     241;   227.0277;          130   
     242;   227.9030;          145   
     243;   228.7782;           99   
     244;   229.6535;          115   
     245;   230.5288;          132   
     246;   231.4041;          100   
     247;   232.2793;          102   
     248;   233.1546;          105   
     249;   234.0299;          110   
     250;   234.9052;          125   
     251;   235.7804;           95   
     252;   236.6557;          108   
     253;   237.5310;           81   
     254;   238.4063;           89   
     255;   239.2815;          108   
     256;   240.1568;           88   
     257;   241.0321;           96   
     258;   241.9074;           96   
     259;   242.7826;           78   
     260;   243.6579;           84   
     261;   244.5332;           75   
     262;   245.4085;           84   
     263;   246.2837;           77   
     264;   247.1590;           74   
     265;   248.0343;           81   
     266;   248.9096;           78   
     267;   249.7848;           64   
     268;   250.6601;           63   
     269;   251.5354;           69   
     270;   252.4107;           88   
     271;   253.2859;           63   
     272;   254.1612;           63   
     273;   255.0365;           57   
     274;   255.9118;           89   
     275;   256.7870;           53   
     276;   257.6623;           62   
     277;   258.5376;           76   
     278;   259.4129;           67   
     279;   260.2881;           72   
     280;   261.1634;           66   
     281;   262.0387;           73   
     282;   262.9140;           47   
     283;   263.7892;           55   
     284;   264.6645;           70   
     285;   265.5398;           66   
     286;   266.4151;           70   
     287;   267.2903;           60   
     288;   268.1656;           61   
     289;   269.0409;           80   
     290;   269.9162;           69   
     291;   270.7914;           70   
     292;   271.6667;           50   
     293;   272.5420;           55   
     294;   273.4173;           68   
     295;   274.2925;           71   
     296;   275.1678;           67   
     297;   276.0431;           79   
     298;   276.9184;           65   
     299;   277.7936;           75   
     300;   278.6689;           64   
     301;   279.5442;           64   
     302;   280.4195;           69   
     303;   281.2947;           64   
     304;   282.1700;           63   
     305;   283.0453;           50   
     306;   283.9206;           58   
     307;   284.7958;           63   
     308;   285.6711;           77   
     309;   286.5464;           61   
     310;   287.4217;           64   
     311;   288.2969;           46   
     312;   289.1722;           53   
     313;   290.0475;           41   
     314;   290.9228;           42   
     315;   291.7980;           39   
     316;   292.6733;           73   
     317;   293.5486;           61   
     318;   294.4239;           49   
     319;   295.2991;           45   
     320;   296.1744;           56   
     321;   297.0497;           58   
     322;   297.9250;           62   
     323;   298.8002;           58   
     324;   299.6755;           62   
     325;   300.5508;           50   
     326;   301.4261;           63   
     327;   302.3013;           55   
     328;   303.1766;           61   
     329;   304.0519;           51   
     330;   304.9272;           57   
     331;   305.8024;           48   
     332;   306.6777;           56   
     333;   307.5530;           39   
     334;   308.4283;           42   
     335;   309.3035;           59   
     336;   310.1788;           47   
     337;   311.0541;           48   
     338;   311.9294;           52   
     339;   312.8046;           47   
     340;   313.6799;           45   
     341;   314.5552;           44   
     342;   315.4305;           39   
     343;   316.3057;           53   
     344;   317.1810;           50   
     345;   318.0563;           50   
     346;   318.9316;           47   
     347;   319.8068;           49   
     348;   320.6821;           41   
     349;   321.5574;           47   
     350;   322.4327;           49   
     351;   323.3079;           62   
     352;   324.1832;           38   
     353;   325.0585;           49   
     354;   325.9338;           47   
     355;   326.8090;           41   
     356;   327.6843;           50   
     357;   328.5596;           45   
     358;   329.4349;           41   
     359;   330.3101;           45   
     360;   331.1854;           40   
     361;   332.0607;           50   
     362;   332.9360;           46   
     363;   333.8112;           42   
     364;   334.6865;           37   
     365;   335.5618;           37   
     366;   336.4371;           35   
     367;   337.3123;           40   
     368;   338.1876;           46   
     369;   339.0629;           40   
     370;   339.9382;           39   
     371;   340.8134;           39   
     372;   341.6887;           50   
     373;   342.5640;           41   
     374;   343.4393;           40   
     375;   344.3145;           32   
     376;   345.1898;           37   
     377;   346.0651;           42   
     378;   346.9404;           48   
     379;   347.8156;           45   
     380;   348.6909;           34   
     381;   349.5662;           33   
     382;   350.4415;           32   
     383;   351.3167;           41   
     384;   352.1920;           32   
     385;   353.0673;           34   
     386;   353.9426;           33   
     387;   354.8178;           33   
     388;   355.6931;           32   
     389;   356.5684;           39   
     390;   357.4437;           31   
     391;   358.3189;           38   
     392;   359.1942;           38   
     393;   360.0695;           41   
     394;   360.9448;           38   
     395;   361.8200;           44   
     396;   362.6953;           47   
     397;   363.5706;           56   
     398;   364.4459;           30   
     399;   365.3211;           33   
     400;   366.1964;           40   
     401;   367.0717;           41   
     402;   367.9470;           33   
     403;   368.8222;           47   
     404;   369.6975;           39   
     405;   370.5728;           29   
     406;   371.4481;           45   
     407;   372.3233;           34   
     408;   373.1986;           47   
     409;   374.0739;           45   
     410;   374.9492;           23   
     411;   375.8244;           43   
     412;   376.6997;           46   
     413;   377.5750;           34   
     414;   378.4503;           38   
     415;   379.3255;           35   
     416;   380.2008;           37   
     417;   381.0761;           44   
     418;   381.9514;           42   
     419;   382.8266;           31   
     420;   383.7019;           52   
     421;   384.5772;           37   
     422;   385.4525;           49   
     423;   386.3277;           28   
