Kanal;   Energie(keV); Impulse
       1;    16.9617;         1090   
       2;    17.8370;         1154   
       3;    18.7122;         1114   
       4;    19.5875;         1224   
       5;    20.4628;         1292   
       6;    21.3381;         1363   
       7;    22.2133;         1467   
       8;    23.0886;         1558   
       9;    23.9639;         1597   
      10;    24.8392;         1726   
      11;    25.7144;         1856   
      12;    26.5897;         2029   
      13;    27.4650;         2209   
      14;    28.3403;         2343   
      15;    29.2155;         2477   
      16;    30.0908;         2606   
      17;    30.9661;         2634   
      18;    31.8414;         2548   
      19;    32.7166;         2616   
      20;    33.5919;         2477   
      21;    34.4672;         2411   
      22;    35.3425;         2453   
      23;    36.2177;         2431   
      24;    37.0930;         2333   
      25;    37.9683;         2332   
      26;    38.8436;         2286   
      27;    39.7188;         2371   
      28;    40.5941;         2191   
      29;    41.4694;         2276   
      30;    42.3447;         2223   
      31;    43.2199;         2245   
      32;    44.0952;         2202   
      33;    44.9705;         2226   
      34;    45.8458;         2135   
      35;    46.7210;         2173   
      36;    47.5963;         2109   
      37;    48.4716;         2133   
      38;    49.3469;         2109   
      39;    50.2221;         2137   
      40;    51.0974;         2075   
      41;    51.9727;         2098   
      42;    52.8480;         2068   
      43;    53.7232;         2053   
      44;    54.5985;         1992   
      45;    55.4738;         2045   
      46;    56.3491;         1982   
      47;    57.2243;         1970   
      48;    58.0996;         1979   
      49;    58.9749;         1909   
      50;    59.8502;         1894   
      51;    60.7254;         1924   
      52;    61.6007;         1865   
      53;    62.4760;         1901   
      54;    63.3513;         1785   
      55;    64.2265;         1802   
      56;    65.1018;         1862   
      57;    65.9771;         1772   
      58;    66.8524;         1850   
      59;    67.7276;         1795   
      60;    68.6029;         1832   
      61;    69.4782;         1773   
      62;    70.3535;         1727   
      63;    71.2287;         1708   
      64;    72.1040;         1662   
      65;    72.9793;         1647   
      66;    73.8546;         1622   
      67;    74.7298;         1716   
      68;    75.6051;         1613   
      69;    76.4804;         1505   
      70;    77.3557;         1519   
      71;    78.2309;         1529   
      72;    79.1062;         1461   
      73;    79.9815;         1456   
      74;    80.8568;         1461   
      75;    81.7320;         1391   
      76;    82.6073;         1407   
      77;    83.4826;         1352   
      78;    84.3579;         1415   
      79;    85.2331;         1469   
      80;    86.1084;         1406   
      81;    86.9837;         1376   
      82;    87.8590;         1334   
      83;    88.7342;         1372   
      84;    89.6095;         1295   
      85;    90.4848;         1264   
      86;    91.3601;         1286   
      87;    92.2353;         1237   
      88;    93.1106;         1234   
      89;    93.9859;         1278   
      90;    94.8612;         1146   
      91;    95.7364;         1159   
      92;    96.6117;         1096   
      93;    97.4870;         1076   
      94;    98.3623;         1041   
      95;    99.2375;         1055   
      96;   100.1128;          979   
      97;   100.9881;         1012   
      98;   101.8634;          927   
      99;   102.7386;          959   
     100;   103.6139;          927   
     101;   104.4892;          953   
     102;   105.3645;          945   
     103;   106.2397;          935   
     104;   107.1150;          938   
     105;   107.9903;          871   
     106;   108.8656;          834   
     107;   109.7408;          824   
     108;   110.6161;          907   
     109;   111.4914;          810   
     110;   112.3667;          815   
     111;   113.2419;          824   
     112;   114.1172;          769   
     113;   114.9925;          779   
     114;   115.8678;          739   
     115;   116.7430;          783   
     116;   117.6183;          762   
     117;   118.4936;          758   
     118;   119.3689;          708   
     119;   120.2441;          692   
     120;   121.1194;          718   
