Kanal;   Energie(keV); Impulse
       1;    16.9617;          232   
       2;    17.8370;          242   
       3;    18.7122;          227   
       4;    19.5875;          235   
       5;    20.4628;          212   
       6;    21.3381;          200   
       7;    22.2133;          201   
       8;    23.0886;          187   
       9;    23.9639;          154   
      10;    24.8392;          205   
      11;    25.7144;          214   
      12;    26.5897;          180   
      13;    27.4650;          186   
      14;    28.3403;          180   
      15;    29.2155;          186   
      16;    30.0908;          169   
      17;    30.9661;          174   
      18;    31.8414;          176   
      19;    32.7166;          136   
      20;    33.5919;          156   
      21;    34.4672;          161   
      22;    35.3425;          145   
      23;    36.2177;          151   
      24;    37.0930;          137   
      25;    37.9683;          147   
      26;    38.8436;          144   
      27;    39.7188;          159   
      28;    40.5941;          146   
      29;    41.4694;          150   
      30;    42.3447;          146   
      31;    43.2199;          145   
      32;    44.0952;          176   
      33;    44.9705;          136   
      34;    45.8458;          128   
      35;    46.7210;          130   
      36;    47.5963;          140   
      37;    48.4716;          140   
      38;    49.3469;          131   
      39;    50.2221;          128   
      40;    51.0974;          125   
      41;    51.9727;          132   
      42;    52.8480;          142   
      43;    53.7232;          146   
      44;    54.5985;          154   
      45;    55.4738;          148   
      46;    56.3491;          137   
      47;    57.2243;          144   
      48;    58.0996;          143   
      49;    58.9749;          145   
      50;    59.8502;          113   
      51;    60.7254;          161   
      52;    61.6007;          182   
      53;    62.4760;          144   
      54;    63.3513;          188   
      55;    64.2265;          164   
      56;    65.1018;          166   
      57;    65.9771;          145   
      58;    66.8524;          162   
      59;    67.7276;          178   
      60;    68.6029;          175   
      61;    69.4782;          186   
      62;    70.3535;          176   
      63;    71.2287;          191   
      64;    72.1040;          182   
      65;    72.9793;          199   
      66;    73.8546;          210   
      67;    74.7298;          270   
      68;    75.6051;          337   
      69;    76.4804;          304   
      70;    77.3557;          423   
      71;    78.2309;          450   
      72;    79.1062;          315   
      73;    79.9815;          265   
      74;    80.8568;          243   
      75;    81.7320;          242   
      76;    82.6073;          259   
      77;    83.4826;          240   
      78;    84.3579;          265   
      79;    85.2331;          257   
      80;    86.1084;          274   
      81;    86.9837;          331   
      82;    87.8590;          429   
      83;    88.7342;          315   
      84;    89.6095;          323   
      85;    90.4848;          306   
      86;    91.3601;          255   
      87;    92.2353;          303   
      88;    93.1106;          257   
      89;    93.9859;          279   
      90;    94.8612;          284   
      91;    95.7364;          306   
      92;    96.6117;          285   
      93;    97.4870;          282   
      94;    98.3623;          289   
      95;    99.2375;          299   
      96;   100.1128;          268   
      97;   100.9881;          276   
      98;   101.8634;          315   
      99;   102.7386;          265   
     100;   103.6139;          301   
     101;   104.4892;          300   
     102;   105.3645;          276   
     103;   106.2397;          283   
     104;   107.1150;          263   
     105;   107.9903;          311   
     106;   108.8656;          323   
     107;   109.7408;          305   
     108;   110.6161;          256   
     109;   111.4914;          286   
     110;   112.3667;          305   
     111;   113.2419;          325   
     112;   114.1172;          299   
     113;   114.9925;          308   
     114;   115.8678;          287   
     115;   116.7430;          300   
     116;   117.6183;          317   
     117;   118.4936;          299   
     118;   119.3689;          303   
     119;   120.2441;          297   
     120;   121.1194;          307   
     121;   121.9947;          276   
     122;   122.8700;          274   
     123;   123.7452;          282   
     124;   124.6205;          331   
     125;   125.4958;          313   
     126;   126.3711;          291   
     127;   127.2463;          305   
     128;   128.1216;          293   
     129;   128.9969;          305   
     130;   129.8722;          311   
     131;   130.7474;          317   
     132;   131.6227;          301   
     133;   132.4980;          327   
     134;   133.3733;          292   
     135;   134.2485;          277   
     136;   135.1238;          305   
     137;   135.9991;          314   
     138;   136.8744;          302   
     139;   137.7496;          275   
     140;   138.6249;          289   
     141;   139.5002;          277   
     142;   140.3755;          279   
     143;   141.2507;          258   
     144;   142.1260;          245   
     145;   143.0013;          248   
     146;   143.8766;          248   
     147;   144.7518;          255   
     148;   145.6271;          256   
     149;   146.5024;          260   
     150;   147.3777;          283   
     151;   148.2529;          237   
     152;   149.1282;          262   
     153;   150.0035;          251   
     154;   150.8788;          236   
     155;   151.7540;          250   
     156;   152.6293;          270   
     157;   153.5046;          258   
     158;   154.3799;          235   
     159;   155.2551;          245   
     160;   156.1304;          230   
     161;   157.0057;          248   
     162;   157.8810;          223   
     163;   158.7562;          239   
     164;   159.6315;          249   
     165;   160.5068;          240   
     166;   161.3821;          231   
     167;   162.2573;          247   
     168;   163.1326;          210   
     169;   164.0079;          210   
     170;   164.8832;          217   
     171;   165.7584;          213   
     172;   166.6337;          209   
     173;   167.5090;          194   
     174;   168.3843;          248   
     175;   169.2595;          207   
     176;   170.1348;          222   
     177;   171.0101;          212   
     178;   171.8854;          205   
     179;   172.7606;          198   
     180;   173.6359;          216   
     181;   174.5112;          212   
     182;   175.3865;          192   
     183;   176.2617;          206   
     184;   177.1370;          220   
     185;   178.0123;          175   
     186;   178.8876;          208   
     187;   179.7628;          212   
     188;   180.6381;          194   
     189;   181.5134;          215   
     190;   182.3887;          188   
     191;   183.2639;          214   
     192;   184.1392;          163   
     193;   185.0145;          189   
     194;   185.8898;          182   
     195;   186.7650;          188   
     196;   187.6403;          196   
     197;   188.5156;          205   
     198;   189.3909;          209   
     199;   190.2661;          178   
     200;   191.1414;          214   
     201;   192.0167;          189   
     202;   192.8920;          168   
     203;   193.7672;          181   
     204;   194.6425;          182   
     205;   195.5178;          174   
     206;   196.3931;          184   
     207;   197.2683;          181   
     208;   198.1436;          178   
     209;   199.0189;          176   
     210;   199.8942;          169   
     211;   200.7694;          180   
     212;   201.6447;          183   
     213;   202.5200;          152   
     214;   203.3953;          171   
     215;   204.2705;          164   
     216;   205.1458;          173   
     217;   206.0211;          178   
     218;   206.8964;          155   
     219;   207.7716;          161   
     220;   208.6469;          145   
     221;   209.5222;          164   
     222;   210.3975;          145   
     223;   211.2727;          166   
     224;   212.1480;          161   
     225;   213.0233;          173   
     226;   213.8986;          154   
     227;   214.7738;          160   
     228;   215.6491;          179   
     229;   216.5244;          129   
     230;   217.3997;          138   
     231;   218.2749;          155   
     232;   219.1502;          135   
     233;   220.0255;          135   
     234;   220.9008;          142   
     235;   221.7760;          150   
     236;   222.6513;          134   
     237;   223.5266;          146   
     238;   224.4019;          150   
     239;   225.2771;          139   
     240;   226.1524;          136   
     241;   227.0277;          144   
     242;   227.9030;          129   
     243;   228.7782;          139   
     244;   229.6535;          144   
     245;   230.5288;          146   
     246;   231.4041;          133   
     247;   232.2793;          131   
     248;   233.1546;          127   
     249;   234.0299;          133   
     250;   234.9052;          145   
     251;   235.7804;          131   
     252;   236.6557;          145   
     253;   237.5310;          123   
     254;   238.4063;          147   
     255;   239.2815;          117   
     256;   240.1568;          138   
     257;   241.0321;          153   
     258;   241.9074;          202   
     259;   242.7826;          249   
     260;   243.6579;          172   
     261;   244.5332;          133   
     262;   245.4085;          137   
     263;   246.2837;          158   
     264;   247.1590;          151   
     265;   248.0343;          122   
     266;   248.9096;          114   
     267;   249.7848;           99   
     268;   250.6601;          104   
