Kanal;   Energie(keV); Impulse
       1;    16.9617;          235   
       2;    17.8370;          222   
       3;    18.7122;          250   
       4;    19.5875;          220   
       5;    20.4628;          200   
       6;    21.3381;          190   
       7;    22.2133;          211   
       8;    23.0886;          213   
       9;    23.9639;          203   
      10;    24.8392;          184   
      11;    25.7144;          202   
      12;    26.5897;          176   
      13;    27.4650;          188   
      14;    28.3403;          152   
      15;    29.2155;          162   
      16;    30.0908;          172   
      17;    30.9661;          152   
      18;    31.8414;          156   
      19;    32.7166;          144   
      20;    33.5919;          192   
      21;    34.4672;          160   
      22;    35.3425;          170   
      23;    36.2177;          134   
      24;    37.0930;          141   
      25;    37.9683;          174   
      26;    38.8436;          155   
      27;    39.7188;          152   
      28;    40.5941;          149   
      29;    41.4694;          162   
      30;    42.3447;          155   
      31;    43.2199;          135   
      32;    44.0952;          149   
      33;    44.9705;          121   
      34;    45.8458;          149   
      35;    46.7210;          134   
      36;    47.5963;          141   
      37;    48.4716;          131   
      38;    49.3469;          148   
      39;    50.2221;          139   
      40;    51.0974;          157   
      41;    51.9727;          134   
      42;    52.8480;          136   
      43;    53.7232;          138   
      44;    54.5985;          122   
      45;    55.4738;          128   
      46;    56.3491;          150   
      47;    57.2243;          133   
      48;    58.0996;          138   
      49;    58.9749;          128   
      50;    59.8502;          139   
      51;    60.7254;          148   
      52;    61.6007;          156   
      53;    62.4760;          164   
      54;    63.3513;          143   
      55;    64.2265;          154   
      56;    65.1018;          139   
      57;    65.9771;          161   
      58;    66.8524;          160   
      59;    67.7276;          168   
      60;    68.6029;          166   
      61;    69.4782;          186   
      62;    70.3535;          223   
      63;    71.2287;          216   
      64;    72.1040;          216   
      65;    72.9793;          221   
      66;    73.8546;          200   
      67;    74.7298;          286   
      68;    75.6051;          330   
      69;    76.4804;          315   
      70;    77.3557;          384   
      71;    78.2309;          395   
      72;    79.1062;          308   
      73;    79.9815;          276   
      74;    80.8568;          217   
      75;    81.7320;          233   
      76;    82.6073;          199   
      77;    83.4826;          238   
      78;    84.3579;          245   
      79;    85.2331;          256   
      80;    86.1084;          310   
      81;    86.9837;          374   
      82;    87.8590;          368   
      83;    88.7342;          321   
      84;    89.6095;          296   
      85;    90.4848;          304   
      86;    91.3601;          313   
      87;    92.2353;          299   
      88;    93.1106;          253   
      89;    93.9859;          273   
      90;    94.8612;          294   
      91;    95.7364;          314   
      92;    96.6117;          314   
      93;    97.4870;          273   
      94;    98.3623;          249   
      95;    99.2375;          281   
      96;   100.1128;          261   
      97;   100.9881;          259   
      98;   101.8634;          288   
      99;   102.7386;          296   
     100;   103.6139;          290   
     101;   104.4892;          282   
     102;   105.3645;          289   
     103;   106.2397;          315   
     104;   107.1150;          288   
     105;   107.9903;          288   
     106;   108.8656;          301   
     107;   109.7408;          306   
     108;   110.6161;          299   
     109;   111.4914;          292   
     110;   112.3667;          271   
     111;   113.2419;          304   
     112;   114.1172;          293   
     113;   114.9925;          294   
     114;   115.8678;          275   
     115;   116.7430;          280   
     116;   117.6183;          285   
     117;   118.4936;          283   
     118;   119.3689;          278   
     119;   120.2441;          325   
     120;   121.1194;          295   
     121;   121.9947;          281   
     122;   122.8700;          275   
     123;   123.7452;          296   
     124;   124.6205;          273   
     125;   125.4958;          310   
     126;   126.3711;          290   
     127;   127.2463;          270   
     128;   128.1216;          244   
     129;   128.9969;          325   
     130;   129.8722;          299   
     131;   130.7474;          287   
     132;   131.6227;          299   
     133;   132.4980;          295   
     134;   133.3733;          300   
     135;   134.2485;          247   
     136;   135.1238;          261   
     137;   135.9991;          298   
     138;   136.8744;          277   
     139;   137.7496;          297   
     140;   138.6249;          247   
     141;   139.5002;          286   
     142;   140.3755;          283   
     143;   141.2507;          244   
     144;   142.1260;          266   
     145;   143.0013;          267   
     146;   143.8766;          237   
     147;   144.7518;          235   
     148;   145.6271;          261   
     149;   146.5024;          246   
     150;   147.3777;          220   
     151;   148.2529;          246   
     152;   149.1282;          293   
     153;   150.0035;          246   
     154;   150.8788;          235   
     155;   151.7540;          232   
     156;   152.6293;          269   
     157;   153.5046;          234   
     158;   154.3799;          258   
     159;   155.2551;          241   
     160;   156.1304;          229   
     161;   157.0057;          253   
     162;   157.8810;          222   
     163;   158.7562;          223   
     164;   159.6315;          262   
     165;   160.5068;          241   
     166;   161.3821;          220   
     167;   162.2573;          230   
     168;   163.1326;          208   
     169;   164.0079;          204   
     170;   164.8832;          217   
     171;   165.7584;          219   
     172;   166.6337;          217   
     173;   167.5090;          206   
     174;   168.3843;          218   
     175;   169.2595;          224   
     176;   170.1348;          215   
     177;   171.0101;          223   
     178;   171.8854;          190   
     179;   172.7606;          217   
     180;   173.6359;          210   
     181;   174.5112;          199   
     182;   175.3865;          208   
     183;   176.2617;          205   
     184;   177.1370;          226   
     185;   178.0123;          209   
     186;   178.8876;          192   
     187;   179.7628;          193   
     188;   180.6381;          177   
     189;   181.5134;          219   
     190;   182.3887;          194   
     191;   183.2639;          188   
     192;   184.1392;          179   
     193;   185.0145;          159   
     194;   185.8898;          188   
     195;   186.7650;          196   
     196;   187.6403;          196   
     197;   188.5156;          188   
     198;   189.3909;          188   
     199;   190.2661;          200   
     200;   191.1414;          171   
     201;   192.0167;          179   
     202;   192.8920;          178   
     203;   193.7672;          172   
     204;   194.6425;          207   
