Kanal;   Energie(keV); Impulse
       1;    16.9617;            0   
       2;    17.8370;            0   
       3;    18.7122;            0   
       4;    19.5875;            0   
       5;    20.4628;            0   
       6;    21.3381;            0   
       7;    22.2133;            0   
       8;    23.0886;            0   
       9;    23.9639;            0   
      10;    24.8392;            0   
      11;    25.7144;            0   
      12;    26.5897;            0   
      13;    27.4650;            0   
      14;    28.3403;            0   
      15;    29.2155;            0   
      16;    30.0908;            0   
      17;    30.9661;            0   
      18;    31.8414;            0   
      19;    32.7166;            0   
      20;    33.5919;            0   
      21;    34.4672;            0   
      22;    35.3425;            0   
      23;    36.2177;            0   
      24;    37.0930;            0   
      25;    37.9683;            0   
      26;    38.8436;            0   
      27;    39.7188;            0   
      28;    40.5941;            0   
      29;    41.4694;            0   
      30;    42.3447;            0   
      31;    43.2199;            0   
      32;    44.0952;            0   
      33;    44.9705;            0   
      34;    45.8458;            0   
      35;    46.7210;            0   
      36;    47.5963;            0   
      37;    48.4716;            0   
      38;    49.3469;            0   
      39;    50.2221;            0   
      40;    51.0974;            0   
      41;    51.9727;            0   
      42;    52.8480;            0   
      43;    53.7232;            0   
      44;    54.5985;            0   
      45;    55.4738;            1   
      46;    56.3491;           25   
      47;    57.2243;          127   
      48;    58.0996;          359   
      49;    58.9749;         1249   
      50;    59.8502;         4365   
      51;    60.7254;         7519   
      52;    61.6007;         8060   
      53;    62.4760;         8548   
      54;    63.3513;         9085   
      55;    64.2265;         8866   
      56;    65.1018;         8975   
      57;    65.9771;         8743   
      58;    66.8524;         8733   
      59;    67.7276;         8636   
      60;    68.6029;         8772   
      61;    69.4782;         8543   
      62;    70.3535;         8221   
      63;    71.2287;         8211   
      64;    72.1040;         8147   
      65;    72.9793;         7964   
      66;    73.8546;         8106   
      67;    74.7298;         8104   
      68;    75.6051;         7827   
      69;    76.4804;         7916   
      70;    77.3557;         7823   
      71;    78.2309;         7918   
      72;    79.1062;         7786   
      73;    79.9815;         7725   
      74;    80.8568;         7678   
      75;    81.7320;         7480   
      76;    82.6073;         7713   
      77;    83.4826;         7557   
      78;    84.3579;         7514   
      79;    85.2331;         7517   
      80;    86.1084;         7368   
      81;    86.9837;         7556   
      82;    87.8590;         7597   
      83;    88.7342;         7418   
      84;    89.6095;         7392   
      85;    90.4848;         7476   
      86;    91.3601;         7514   
      87;    92.2353;         7353   
      88;    93.1106;         7398   
      89;    93.9859;         7197   
      90;    94.8612;         7398   
      91;    95.7364;         7339   
      92;    96.6117;         7224   
      93;    97.4870;         7335   
      94;    98.3623;         7353   
      95;    99.2375;         7197   
      96;   100.1128;         7379   
      97;   100.9881;         7392   
      98;   101.8634;         7151   
      99;   102.7386;         7242   
     100;   103.6139;         7281   
     101;   104.4892;         7130   
     102;   105.3645;         7233   
     103;   106.2397;         7107   
     104;   107.1150;         7055   
     105;   107.9903;         7157   
     106;   108.8656;         7180   
     107;   109.7408;         7044   
     108;   110.6161;         7077   
     109;   111.4914;         6866   
     110;   112.3667;         7130   
     111;   113.2419;         7283   
     112;   114.1172;         6805   
     113;   114.9925;         7064   
     114;   115.8678;         7167   
     115;   116.7430;         7227   
     116;   117.6183;         7115   
     117;   118.4936;         6973   
     118;   119.3689;         7076   
     119;   120.2441;         7028   
     120;   121.1194;         7115   
     121;   121.9947;         7092   
     122;   122.8700;         7178   
     123;   123.7452;         7117   
     124;   124.6205;         7092   
     125;   125.4958;         7252   
     126;   126.3711;         6985   
     127;   127.2463;         7252   
     128;   128.1216;         7097   
     129;   128.9969;         7119   
     130;   129.8722;         7112   
     131;   130.7474;         7020   
     132;   131.6227;         6977   
     133;   132.4980;         7078   
     134;   133.3733;         7304   
     135;   134.2485;         7135   
     136;   135.1238;         7153   
     137;   135.9991;         7244   
     138;   136.8744;         7116   
     139;   137.7496;         7244   
     140;   138.6249;         7121   
     141;   139.5002;         7242   
     142;   140.3755;         7163   
     143;   141.2507;         7267   
     144;   142.1260;         7205   
     145;   143.0013;         7313   
     146;   143.8766;         7161   
     147;   144.7518;         7174   
     148;   145.6271;         7185   
     149;   146.5024;         7311   
     150;   147.3777;         7298   
     151;   148.2529;         7286   
     152;   149.1282;         7293   
     153;   150.0035;         7323   
     154;   150.8788;         7399   
     155;   151.7540;         7430   
     156;   152.6293;         7321   
     157;   153.5046;         7491   
     158;   154.3799;         7495   
     159;   155.2551;         7351   
     160;   156.1304;         7558   
     161;   157.0057;         7760   
     162;   157.8810;         7562   
     163;   158.7562;         7612   
     164;   159.6315;         7480   
     165;   160.5068;         7536   
     166;   161.3821;         7506   
     167;   162.2573;         7516   
     168;   163.1326;         7471   
     169;   164.0079;         7483   
     170;   164.8832;         7451   
     171;   165.7584;         7464   
     172;   166.6337;         7437   
     173;   167.5090;         7498   
     174;   168.3843;         7569   
     175;   169.2595;         7501   
     176;   170.1348;         7378   
     177;   171.0101;         7509   
     178;   171.8854;         7474   
     179;   172.7606;         7373   
     180;   173.6359;         7318   
     181;   174.5112;         7389   
     182;   175.3865;         7366   
     183;   176.2617;         7498   
     184;   177.1370;         7321   
     185;   178.0123;         7532   
     186;   178.8876;         7357   
     187;   179.7628;         7269   
     188;   180.6381;         7178   
     189;   181.5134;         7082   
     190;   182.3887;         7342   
     191;   183.2639;         7253   
     192;   184.1392;         7180   
     193;   185.0145;         7091   
     194;   185.8898;         7201   
     195;   186.7650;         6936   
     196;   187.6403;         6911   
     197;   188.5156;         7012   
     198;   189.3909;         6795   
     199;   190.2661;         6697   
     200;   191.1414;         6886   
     201;   192.0167;         6737   
     202;   192.8920;         6475   
     203;   193.7672;         6546   
     204;   194.6425;         6560   
     205;   195.5178;         6545   
     206;   196.3931;         6493   
     207;   197.2683;         6397   
     208;   198.1436;         6389   
     209;   199.0189;         6413   
     210;   199.8942;         6203   
     211;   200.7694;         6204   
     212;   201.6447;         6073   
     213;   202.5200;         5962   
     214;   203.3953;         5765   
     215;   204.2705;         5792   
     216;   205.1458;         5785   
     217;   206.0211;         5559   
     218;   206.8964;         5703   
     219;   207.7716;         5478   
     220;   208.6469;         5319   
     221;   209.5222;         5388   
     222;   210.3975;         5415   
     223;   211.2727;         5185   
     224;   212.1480;         5287   
     225;   213.0233;         5335   
     226;   213.8986;         5060   
     227;   214.7738;         4959   
     228;   215.6491;         4909   
     229;   216.5244;         4895   
     230;   217.3997;         4743   
     231;   218.2749;         4679   
     232;   219.1502;         4755   
     233;   220.0255;         4526   
     234;   220.9008;         4516   
     235;   221.7760;         4493   
     236;   222.6513;         4448   
     237;   223.5266;         4285   
     238;   224.4019;         4265   
     239;   225.2771;         4315   
     240;   226.1524;         4267   
     241;   227.0277;         4090   
     242;   227.9030;         4048   
     243;   228.7782;         4020   
     244;   229.6535;         4019   
     245;   230.5288;         3868   
     246;   231.4041;         3801   
     247;   232.2793;         3735   
     248;   233.1546;         3689   
     249;   234.0299;         3705   
     250;   234.9052;         3565   
     251;   235.7804;         3589   
     252;   236.6557;         3545   
     253;   237.5310;         3417   
     254;   238.4063;         3480   
     255;   239.2815;         3404   
     256;   240.1568;         3400   
     257;   241.0321;         3243   
     258;   241.9074;         3142   
     259;   242.7826;         3136   
     260;   243.6579;         3062   
     261;   244.5332;         2908   
     262;   245.4085;         2909   
     263;   246.2837;         2914   
     264;   247.1590;         2882   
     265;   248.0343;         2841   
     266;   248.9096;         2804   
     267;   249.7848;         2755   
     268;   250.6601;         2780   
     269;   251.5354;         2658   
     270;   252.4107;         2707   
     271;   253.2859;         2665   
     272;   254.1612;         2553   
     273;   255.0365;         2609   
     274;   255.9118;         2483   
     275;   256.7870;         2543   
     276;   257.6623;         2355   
     277;   258.5376;         2441   
     278;   259.4129;         2322   
     279;   260.2881;         2191   
     280;   261.1634;         2311   
     281;   262.0387;         2203   
     282;   262.9140;         2323   
     283;   263.7892;         2266   
     284;   264.6645;         2231   
     285;   265.5398;         2132   
     286;   266.4151;         2165   
     287;   267.2903;         2083   
     288;   268.1656;         2024   
     289;   269.0409;         2024   
     290;   269.9162;         2015   
     291;   270.7914;         1965   
     292;   271.6667;         1907   
     293;   272.5420;         1964   
     294;   273.4173;         1929   
     295;   274.2925;         1810   
     296;   275.1678;         1764   
     297;   276.0431;         1907   
     298;   276.9184;         1891   
     299;   277.7936;         1782   
     300;   278.6689;         1823   
     301;   279.5442;         1712   
     302;   280.4195;         1676   
     303;   281.2947;         1745   
     304;   282.1700;         1735   
     305;   283.0453;         1563   
     306;   283.9206;         1678   
     307;   284.7958;         1560   
     308;   285.6711;         1563   
     309;   286.5464;         1537   
     310;   287.4217;         1574   
     311;   288.2969;         1531   
     312;   289.1722;         1545   
     313;   290.0475;         1526   
     314;   290.9228;         1534   
     315;   291.7980;         1513   
     316;   292.6733;         1480   
     317;   293.5486;         1494   
     318;   294.4239;         1368   
     319;   295.2991;         1435   
     320;   296.1744;         1423   
     321;   297.0497;         1414   
     322;   297.9250;         1352   
     323;   298.8002;         1317   
     324;   299.6755;         1248   
     325;   300.5508;         1322   
     326;   301.4261;         1346   
     327;   302.3013;         1320   
     328;   303.1766;         1307   
     329;   304.0519;         1340   
     330;   304.9272;         1239   
     331;   305.8024;         1293   
     332;   306.6777;         1266   
     333;   307.5530;         1256   
     334;   308.4283;         1272   
     335;   309.3035;         1212   
     336;   310.1788;         1237   
     337;   311.0541;         1218   
     338;   311.9294;         1131   
     339;   312.8046;         1196   
     340;   313.6799;         1190   
     341;   314.5552;         1195   
     342;   315.4305;         1236   
     343;   316.3057;         1189   
     344;   317.1810;         1154   
     345;   318.0563;         1147   
     346;   318.9316;         1123   
     347;   319.8068;         1104   
     348;   320.6821;         1123   
     349;   321.5574;         1082   
     350;   322.4327;         1063   
     351;   323.3079;         1109   
     352;   324.1832;         1089   
     353;   325.0585;         1088   
     354;   325.9338;         1052   
     355;   326.8090;         1081   
     356;   327.6843;         1047   
     357;   328.5596;         1120   
     358;   329.4349;         1046   
     359;   330.3101;         1107   
     360;   331.1854;         1026   
     361;   332.0607;         1101   
     362;   332.9360;          991   
     363;   333.8112;         1061   
     364;   334.6865;         1027   
     365;   335.5618;          974   
     366;   336.4371;         1016   
     367;   337.3123;         1006   
     368;   338.1876;         1007   
     369;   339.0629;          940   
     370;   339.9382;          983   
     371;   340.8134;         1043   
     372;   341.6887;          957   
     373;   342.5640;          987   
     374;   343.4393;          984   
     375;   344.3145;          964   
     376;   345.1898;          939   
     377;   346.0651;          967   
     378;   346.9404;          995   
     379;   347.8156;          963   
     380;   348.6909;          997   
     381;   349.5662;          957   
     382;   350.4415;          942   
     383;   351.3167;          939   
     384;   352.1920;          920   
     385;   353.0673;         1023   
     386;   353.9426;          921   
     387;   354.8178;          939   
     388;   355.6931;          946   
     389;   356.5684;          982   
     390;   357.4437;          891   
     391;   358.3189;          925   
     392;   359.1942;          929   
     393;   360.0695;         1012   
     394;   360.9448;          889   
     395;   361.8200;          924   
     396;   362.6953;          946   
     397;   363.5706;          936   
     398;   364.4459;          883   
     399;   365.3211;          889   
     400;   366.1964;          899   
     401;   367.0717;          904   
     402;   367.9470;          905   
     403;   368.8222;          917   
     404;   369.6975;          873   
     405;   370.5728;          894   
     406;   371.4481;          878   
     407;   372.3233;          855   
     408;   373.1986;          900   
     409;   374.0739;          820   
     410;   374.9492;          890   
     411;   375.8244;          940   
     412;   376.6997;          851   
     413;   377.5750;          911   
     414;   378.4503;          886   
     415;   379.3255;          915   
     416;   380.2008;          828   
     417;   381.0761;          893   
     418;   381.9514;          855   
     419;   382.8266;          907   
     420;   383.7019;          894   
     421;   384.5772;          827   
     422;   385.4525;          827   
     423;   386.3277;          810   
     424;   387.2030;          871   
     425;   388.0783;          883   
     426;   388.9536;          840   
     427;   389.8288;          911   
     428;   390.7041;          894   
     429;   391.5794;          868   
     430;   392.4547;          886   
     431;   393.3299;          902   
     432;   394.2052;          868   
     433;   395.0805;          832   
     434;   395.9558;          873   
     435;   396.8310;          878   
     436;   397.7063;          816   
     437;   398.5816;          839   
     438;   399.4569;          816   
     439;   400.3321;          848   
     440;   401.2074;          862   
     441;   402.0827;          842   
     442;   402.9580;          869   
     443;   403.8332;          878   
     444;   404.7085;          868   
     445;   405.5838;          858   
     446;   406.4591;          854   
     447;   407.3343;          891   
     448;   408.2096;          821   
     449;   409.0849;          827   
     450;   409.9602;          885   
     451;   410.8354;          875   
     452;   411.7107;          828   
     453;   412.5860;          809   
     454;   413.4613;          823   
     455;   414.3365;          858   
     456;   415.2118;          847   
     457;   416.0871;          860   
     458;   416.9624;          909   
     459;   417.8376;          877   
     460;   418.7129;          890   
     461;   419.5882;          871   
     462;   420.4635;          847   
     463;   421.3387;          844   
     464;   422.2140;          894   
     465;   423.0893;          892   
     466;   423.9646;          825   
     467;   424.8398;          880   
     468;   425.7151;          858   
     469;   426.5904;          874   
     470;   427.4657;          832   
     471;   428.3409;          861   
     472;   429.2162;          826   
     473;   430.0915;          832   
     474;   430.9668;          865   
     475;   431.8420;          887   
     476;   432.7173;          839   
     477;   433.5926;          801   
     478;   434.4679;          786   
     479;   435.3431;          861   
     480;   436.2184;          910   
     481;   437.0937;          852   
     482;   437.9690;          868   
     483;   438.8442;          799   
     484;   439.7195;          817   
     485;   440.5948;          851   
     486;   441.4701;          858   
     487;   442.3453;          898   
     488;   443.2206;          846   
     489;   444.0959;          820   
     490;   444.9712;          796   
     491;   445.8464;          828   
     492;   446.7217;          849   
     493;   447.5970;          826   
     494;   448.4723;          863   
     495;   449.3475;          844   
     496;   450.2228;          853   
     497;   451.0981;          778   
     498;   451.9734;          876   
     499;   452.8486;          830   
     500;   453.7239;          812   
     501;   454.5992;          811   
     502;   455.4745;          850   
     503;   456.3497;          858   
     504;   457.2250;          841   
     505;   458.1003;          858   
     506;   458.9756;          888   
     507;   459.8508;          839   
     508;   460.7261;          870   
     509;   461.6014;          865   
     510;   462.4767;          816   
     511;   463.3519;          864   
     512;   464.2272;          904   
     513;   465.1025;          863   
     514;   465.9778;          836   
     515;   466.8530;          859   
     516;   467.7283;          885   
     517;   468.6036;          898   
     518;   469.4789;          894   
     519;   470.3541;          857   
     520;   471.2294;          848   
     521;   472.1047;          895   
     522;   472.9800;          810   
     523;   473.8552;          891   
     524;   474.7305;          865   
     525;   475.6058;          883   
     526;   476.4811;          911   
     527;   477.3563;          870   
     528;   478.2316;          857   
     529;   479.1069;          862   
     530;   479.9822;          872   
     531;   480.8574;          823   
     532;   481.7327;          902   
     533;   482.6080;          852   
     534;   483.4833;          903   
     535;   484.3585;          854   
     536;   485.2338;          898   
     537;   486.1091;          841   
     538;   486.9844;          889   
     539;   487.8596;          884   
     540;   488.7349;          852   
     541;   489.6102;          885   
     542;   490.4855;          931   
     543;   491.3607;          875   
     544;   492.2360;          885   
     545;   493.1113;          875   
     546;   493.9866;          872   
     547;   494.8618;          880   
     548;   495.7371;          912   
     549;   496.6124;          858   
     550;   497.4877;          868   
     551;   498.3629;          878   
     552;   499.2382;          879   
     553;   500.1135;          879   
     554;   500.9888;          921   
     555;   501.8640;          896   
     556;   502.7393;          922   
     557;   503.6146;          892   
     558;   504.4899;          892   
     559;   505.3651;          910   
     560;   506.2404;          860   
     561;   507.1157;          922   
     562;   507.9910;          875   
     563;   508.8662;          889   
     564;   509.7415;          970   
     565;   510.6168;          917   
     566;   511.4921;          902   
     567;   512.3673;          900   
     568;   513.2426;          969   
     569;   514.1179;          918   
     570;   514.9932;          931   
     571;   515.8684;          930   
     572;   516.7437;          832   
     573;   517.6190;          914   
     574;   518.4943;          916   
     575;   519.3695;          881   
     576;   520.2448;          897   
     577;   521.1201;          917   
     578;   521.9954;          896   
     579;   522.8706;          957   
     580;   523.7459;          936   
     581;   524.6212;          870   
     582;   525.4965;          886   
     583;   526.3717;          911   
     584;   527.2470;          968   
     585;   528.1223;          876   
     586;   528.9976;          953   
     587;   529.8728;          930   
     588;   530.7481;          959   
     589;   531.6234;          980   
     590;   532.4987;          959   
     591;   533.3739;          882   
     592;   534.2492;          974   
     593;   535.1245;          994   
     594;   535.9998;          920   
     595;   536.8750;          932   
     596;   537.7503;          971   
     597;   538.6256;          931   
     598;   539.5009;          974   
     599;   540.3761;          966   
     600;   541.2514;          955   
     601;   542.1267;          944   
     602;   543.0020;          950   
     603;   543.8772;          932   
     604;   544.7525;          965   
     605;   545.6278;          925   
     606;   546.5031;          935   
     607;   547.3783;          939   
     608;   548.2536;          923   
     609;   549.1289;          975   
     610;   550.0042;         1050   
     611;   550.8794;          922   
     612;   551.7547;          934   
     613;   552.6300;          975   
     614;   553.5053;          933   
     615;   554.3805;          989   
     616;   555.2558;          943   
     617;   556.1311;          983   
     618;   557.0064;         1006   
     619;   557.8816;          987   
     620;   558.7569;         1005   
     621;   559.6322;          996   
     622;   560.5075;          950   
     623;   561.3827;          953   
     624;   562.2580;         1062   
     625;   563.1333;          978   
     626;   564.0086;          966   
     627;   564.8838;          960   
     628;   565.7591;          893   
     629;   566.6344;          932   
     630;   567.5097;         1003   
     631;   568.3849;          944   
     632;   569.2602;         1007   
     633;   570.1355;          989   
     634;   571.0108;          947   
     635;   571.8860;          953   
     636;   572.7613;          987   
     637;   573.6366;          953   
     638;   574.5119;          995   
     639;   575.3871;          962   
     640;   576.2624;          959   
     641;   577.1377;          973   
     642;   578.0130;          960   
     643;   578.8882;          984   
     644;   579.7635;          935   
     645;   580.6388;          979   
     646;   581.5141;          978   
     647;   582.3893;         1010   
     648;   583.2646;          982   
     649;   584.1399;          890   
     650;   585.0152;          942   
     651;   585.8904;          934   
     652;   586.7657;          926   
     653;   587.6410;          976   
     654;   588.5163;          968   
     655;   589.3915;          997   
     656;   590.2668;          986   
     657;   591.1421;          958   
     658;   592.0174;          867   
     659;   592.8926;          954   
     660;   593.7679;          916   
     661;   594.6432;          977   
     662;   595.5185;          992   
     663;   596.3937;          936   
     664;   597.2690;          953   
     665;   598.1443;          972   
     666;   599.0196;          931   
