Kanal;   Energie(keV); Impulse
       1;    16.9617;            0   
       2;    17.8370;            0   
       3;    18.7122;            0   
       4;    19.5875;            0   
       5;    20.4628;            0   
       6;    21.3381;            0   
       7;    22.2133;            0   
       8;    23.0886;            0   
       9;    23.9639;            0   
      10;    24.8392;            0   
      11;    25.7144;            0   
      12;    26.5897;            0   
      13;    27.4650;            0   
      14;    28.3403;            0   
      15;    29.2155;            0   
      16;    30.0908;            0   
      17;    30.9661;            0   
      18;    31.8414;            0   
      19;    32.7166;            0   
      20;    33.5919;            0   
      21;    34.4672;            0   
      22;    35.3425;            0   
      23;    36.2177;            0   
      24;    37.0930;            0   
      25;    37.9683;            0   
      26;    38.8436;            0   
      27;    39.7188;            0   
      28;    40.5941;            0   
      29;    41.4694;            0   
      30;    42.3447;            0   
      31;    43.2199;            0   
      32;    44.0952;            0   
      33;    44.9705;            0   
      34;    45.8458;            0   
      35;    46.7210;            0   
      36;    47.5963;            0   
      37;    48.4716;            0   
      38;    49.3469;            0   
      39;    50.2221;            0   
      40;    51.0974;            0   
      41;    51.9727;            0   
      42;    52.8480;            0   
      43;    53.7232;            0   
      44;    54.5985;            0   
      45;    55.4738;            0   
      46;    56.3491;            0   
      47;    57.2243;            3   
      48;    58.0996;            4   
      49;    58.9749;           15   
      50;    59.8502;           65   
      51;    60.7254;          137   
      52;    61.6007;          131   
      53;    62.4760;          250   
      54;    63.3513;          586   
      55;    64.2265;          475   
      56;    65.1018;          420   
      57;    65.9771;          370   
      58;    66.8524;          235   
      59;    67.7276;          263   
      60;    68.6029;          210   
      61;    69.4782;          213   
      62;    70.3535;          185   
      63;    71.2287;          176   
      64;    72.1040;          167   
      65;    72.9793;          148   
      66;    73.8546;          137   
      67;    74.7298;          133   
      68;    75.6051;          117   
      69;    76.4804;          120   
      70;    77.3557;          133   
      71;    78.2309;           82   
      72;    79.1062;          106   
      73;    79.9815;          105   
      74;    80.8568;           99   
      75;    81.7320;           81   
      76;    82.6073;           89   
      77;    83.4826;           74   
      78;    84.3579;           63   
      79;    85.2331;           77   
      80;    86.1084;           87   
      81;    86.9837;           76   
      82;    87.8590;           77   
      83;    88.7342;           67   
      84;    89.6095;           77   
      85;    90.4848;           63   
      86;    91.3601;           90   
      87;    92.2353;           65   
      88;    93.1106;           67   
      89;    93.9859;           68   
      90;    94.8612;           62   
      91;    95.7364;           72   
      92;    96.6117;           57   
      93;    97.4870;           64   
      94;    98.3623;           84   
      95;    99.2375;           60   
      96;   100.1128;           66   
      97;   100.9881;           51   
      98;   101.8634;           67   
      99;   102.7386;           65   
     100;   103.6139;           59   
     101;   104.4892;           65   
     102;   105.3645;           60   
     103;   106.2397;           47   
     104;   107.1150;           45   
     105;   107.9903;           62   
     106;   108.8656;           52   
     107;   109.7408;           31   
     108;   110.6161;           63   
     109;   111.4914;           47   
     110;   112.3667;           49   
     111;   113.2419;           46   
     112;   114.1172;           39   
     113;   114.9925;           46   
     114;   115.8678;           50   
     115;   116.7430;           54   
     116;   117.6183;           37   
     117;   118.4936;           49   
     118;   119.3689;           42   
     119;   120.2441;           48   
     120;   121.1194;           55   
     121;   121.9947;           44   
     122;   122.8700;           47   
     123;   123.7452;           43   
     124;   124.6205;           45   
     125;   125.4958;           30   
     126;   126.3711;           42   
     127;   127.2463;           30   
     128;   128.1216;           51   
     129;   128.9969;           39   
     130;   129.8722;           51   
     131;   130.7474;           31   
     132;   131.6227;           37   
     133;   132.4980;           41   
     134;   133.3733;           32   
     135;   134.2485;           37   
     136;   135.1238;           30   
     137;   135.9991;           42   
     138;   136.8744;           31   
     139;   137.7496;           38   
     140;   138.6249;           37   
     141;   139.5002;           43   
     142;   140.3755;           39   
     143;   141.2507;           37   
     144;   142.1260;           49   
     145;   143.0013;           26   
     146;   143.8766;           49   
     147;   144.7518;           39   
     148;   145.6271;           27   
     149;   146.5024;           34   
     150;   147.3777;           31   
     151;   148.2529;           42   
     152;   149.1282;           26   
     153;   150.0035;           33   
     154;   150.8788;           38   
     155;   151.7540;           19   
     156;   152.6293;           30   
     157;   153.5046;           36   
     158;   154.3799;           33   
     159;   155.2551;           28   
     160;   156.1304;           25   
     161;   157.0057;           27   
     162;   157.8810;           28   
     163;   158.7562;           25   
     164;   159.6315;           36   
     165;   160.5068;           32   
     166;   161.3821;           33   
     167;   162.2573;           42   
     168;   163.1326;           32   
     169;   164.0079;           27   
     170;   164.8832;           31   
     171;   165.7584;           18   
     172;   166.6337;           30   
     173;   167.5090;           30   
     174;   168.3843;           22   
     175;   169.2595;           23   
     176;   170.1348;           24   
     177;   171.0101;           28   
     178;   171.8854;           21   
     179;   172.7606;           15   
     180;   173.6359;           26   
     181;   174.5112;           21   
     182;   175.3865;           20   
     183;   176.2617;           20   
     184;   177.1370;           23   
     185;   178.0123;           20   
     186;   178.8876;           27   
     187;   179.7628;           23   
     188;   180.6381;           32   
     189;   181.5134;           23   
     190;   182.3887;           27   
     191;   183.2639;           21   
     192;   184.1392;           39   
     193;   185.0145;           23   
     194;   185.8898;           28   
     195;   186.7650;           29   
     196;   187.6403;           20   
     197;   188.5156;           19   
     198;   189.3909;           26   
     199;   190.2661;           18   
     200;   191.1414;           24   
     201;   192.0167;           20   
     202;   192.8920;           22   
     203;   193.7672;           26   
     204;   194.6425;           33   
     205;   195.5178;           33   
     206;   196.3931;           28   
     207;   197.2683;           20   
     208;   198.1436;           25   
     209;   199.0189;           17   
     210;   199.8942;           22   
     211;   200.7694;           22   
     212;   201.6447;           23   
     213;   202.5200;           14   
     214;   203.3953;           18   
     215;   204.2705;           22   
     216;   205.1458;           24   
     217;   206.0211;           19   
     218;   206.8964;           21   
     219;   207.7716;           23   
     220;   208.6469;           15   
     221;   209.5222;           20   
     222;   210.3975;           26   
     223;   211.2727;           18   
     224;   212.1480;           18   
     225;   213.0233;           18   
     226;   213.8986;           27   
     227;   214.7738;           16   
     228;   215.6491;           24   
     229;   216.5244;           23   
     230;   217.3997;           24   
     231;   218.2749;           16   
     232;   219.1502;           24   
     233;   220.0255;           25   
     234;   220.9008;           15   
     235;   221.7760;           21   
     236;   222.6513;           20   
     237;   223.5266;           24   
     238;   224.4019;           22   
     239;   225.2771;           14   
     240;   226.1524;           14   
     241;   227.0277;           15   
     242;   227.9030;           21   
     243;   228.7782;           20   
     244;   229.6535;           16   
     245;   230.5288;           16   
     246;   231.4041;           19   
     247;   232.2793;           12   
     248;   233.1546;           17   
     249;   234.0299;           19   
     250;   234.9052;            8   
     251;   235.7804;           20   
     252;   236.6557;           18   
     253;   237.5310;           12   
     254;   238.4063;           19   
     255;   239.2815;           15   
     256;   240.1568;           11   
     257;   241.0321;           20   
     258;   241.9074;           18   
     259;   242.7826;           22   
     260;   243.6579;           23   
     261;   244.5332;           16   
     262;   245.4085;           26   
     263;   246.2837;           22   
     264;   247.1590;           19   
     265;   248.0343;           19   
     266;   248.9096;           25   
     267;   249.7848;           16   
     268;   250.6601;           17   
     269;   251.5354;           20   
     270;   252.4107;           19   
     271;   253.2859;           12   
     272;   254.1612;           18   
     273;   255.0365;           15   
     274;   255.9118;           18   
     275;   256.7870;           14   
     276;   257.6623;           23   
     277;   258.5376;           13   
     278;   259.4129;           11   
     279;   260.2881;           22   
     280;   261.1634;           13   
     281;   262.0387;           13   
     282;   262.9140;           17   
     283;   263.7892;           20   
     284;   264.6645;           18   
     285;   265.5398;           13   
     286;   266.4151;           17   
     287;   267.2903;           19   
     288;   268.1656;           14   
     289;   269.0409;           16   
     290;   269.9162;           17   
     291;   270.7914;            8   
     292;   271.6667;           14   
     293;   272.5420;           18   
     294;   273.4173;           13   
     295;   274.2925;           12   
     296;   275.1678;           19   
     297;   276.0431;           16   
     298;   276.9184;           19   
     299;   277.7936;           10   
     300;   278.6689;            8   
     301;   279.5442;           17   
     302;   280.4195;           15   
     303;   281.2947;           16   
     304;   282.1700;           14   
     305;   283.0453;           17   
     306;   283.9206;           17   
     307;   284.7958;           19   
     308;   285.6711;           13   
     309;   286.5464;           12   
     310;   287.4217;           13   
     311;   288.2969;           17   
     312;   289.1722;           10   
     313;   290.0475;           11   
     314;   290.9228;           14   
     315;   291.7980;           13   
     316;   292.6733;           15   
     317;   293.5486;           11   
     318;   294.4239;           21   
     319;   295.2991;           18   
     320;   296.1744;            9   
     321;   297.0497;           11   
     322;   297.9250;           16   
     323;   298.8002;           21   
     324;   299.6755;           17   
     325;   300.5508;           11   
     326;   301.4261;           15   
     327;   302.3013;           13   
     328;   303.1766;           13   
     329;   304.0519;           15   
     330;   304.9272;           15   
     331;   305.8024;            8   
     332;   306.6777;           12   
     333;   307.5530;            9   
     334;   308.4283;           16   
     335;   309.3035;           10   
     336;   310.1788;            8   
     337;   311.0541;            6   
     338;   311.9294;            9   
     339;   312.8046;           10   
     340;   313.6799;           11   
     341;   314.5552;           12   
     342;   315.4305;           17   
     343;   316.3057;           12   
     344;   317.1810;           16   
     345;   318.0563;            9   
     346;   318.9316;            9   
     347;   319.8068;           14   
     348;   320.6821;           19   
     349;   321.5574;           13   
     350;   322.4327;           14   
     351;   323.3079;           14   
     352;   324.1832;           12   
     353;   325.0585;           11   
     354;   325.9338;           11   
     355;   326.8090;           14   
     356;   327.6843;           17   
     357;   328.5596;           21   
     358;   329.4349;           12   
     359;   330.3101;            6   
     360;   331.1854;            7   
     361;   332.0607;            6   
     362;   332.9360;            6   
     363;   333.8112;           15   
     364;   334.6865;            8   
     365;   335.5618;           13   
     366;   336.4371;           11   
     367;   337.3123;           17   
     368;   338.1876;            7   
     369;   339.0629;           10   
     370;   339.9382;           11   
     371;   340.8134;           10   
     372;   341.6887;           13   
     373;   342.5640;           14   
     374;   343.4393;            5   
     375;   344.3145;           11   
     376;   345.1898;           14   
     377;   346.0651;            7   
     378;   346.9404;           11   
     379;   347.8156;            6   
     380;   348.6909;            8   
     381;   349.5662;           10   
     382;   350.4415;           10   
     383;   351.3167;           14   
     384;   352.1920;            7   
     385;   353.0673;           15   
     386;   353.9426;            8   
     387;   354.8178;           11   
     388;   355.6931;           12   
     389;   356.5684;           14   
     390;   357.4437;            9   
     391;   358.3189;            7   
     392;   359.1942;            6   
     393;   360.0695;            7   
     394;   360.9448;            9   
     395;   361.8200;           12   
     396;   362.6953;            3   
     397;   363.5706;           11   
     398;   364.4459;           16   
     399;   365.3211;           15   
     400;   366.1964;           11   
     401;   367.0717;           10   
     402;   367.9470;           10   
     403;   368.8222;           10   
     404;   369.6975;           12   
     405;   370.5728;           13   
     406;   371.4481;            5   
     407;   372.3233;           11   
     408;   373.1986;            9   
     409;   374.0739;           10   
     410;   374.9492;            9   
     411;   375.8244;            5   
     412;   376.6997;           16   
     413;   377.5750;            9   
     414;   378.4503;            5   
     415;   379.3255;            8   
     416;   380.2008;            8   
     417;   381.0761;            7   
     418;   381.9514;           11   
     419;   382.8266;           10   
     420;   383.7019;            9   
     421;   384.5772;           11   
     422;   385.4525;           13   
     423;   386.3277;            5   
     424;   387.2030;            7   
     425;   388.0783;            2   
     426;   388.9536;           13   
     427;   389.8288;           11   
     428;   390.7041;            7   
     429;   391.5794;            7   
     430;   392.4547;            8   
     431;   393.3299;           10   
     432;   394.2052;           13   
     433;   395.0805;           14   
     434;   395.9558;           12   
     435;   396.8310;           13   
     436;   397.7063;            9   
     437;   398.5816;            8   
     438;   399.4569;            6   
     439;   400.3321;            6   
     440;   401.2074;            9   
     441;   402.0827;            6   
     442;   402.9580;           14   
     443;   403.8332;            9   
     444;   404.7085;           11   
     445;   405.5838;            2   
     446;   406.4591;            8   
     447;   407.3343;            9   
     448;   408.2096;            6   
     449;   409.0849;            9   
     450;   409.9602;            4   
     451;   410.8354;           11   
     452;   411.7107;            6   
     453;   412.5860;            7   
     454;   413.4613;           12   
     455;   414.3365;            9   
     456;   415.2118;           10   
     457;   416.0871;            5   
     458;   416.9624;           11   
     459;   417.8376;            7   
     460;   418.7129;            3   
     461;   419.5882;           10   
     462;   420.4635;           11   
     463;   421.3387;            8   
     464;   422.2140;            6   
     465;   423.0893;           14   
     466;   423.9646;            8   
     467;   424.8398;            6   
     468;   425.7151;            5   
     469;   426.5904;           10   
     470;   427.4657;            7   
     471;   428.3409;            6   
     472;   429.2162;            6   
     473;   430.0915;            5   
     474;   430.9668;            8   
     475;   431.8420;            8   
     476;   432.7173;            4   
     477;   433.5926;           10   
     478;   434.4679;            8   
     479;   435.3431;            8   
     480;   436.2184;           16   
     481;   437.0937;            9   
     482;   437.9690;            5   
     483;   438.8442;            9   
     484;   439.7195;            9   
     485;   440.5948;           12   
     486;   441.4701;            5   
     487;   442.3453;            8   
     488;   443.2206;            9   
     489;   444.0959;            6   
     490;   444.9712;           11   
     491;   445.8464;            7   
     492;   446.7217;            6   
     493;   447.5970;            3   
     494;   448.4723;           16   
     495;   449.3475;            8   
     496;   450.2228;            6   
     497;   451.0981;            9   
     498;   451.9734;            8   
     499;   452.8486;            9   
     500;   453.7239;            5   
     501;   454.5992;            9   
     502;   455.4745;            9   
     503;   456.3497;            6   
     504;   457.2250;            7   
     505;   458.1003;            8   
     506;   458.9756;            4   
     507;   459.8508;           13   
     508;   460.7261;            6   
     509;   461.6014;           10   
     510;   462.4767;            6   
     511;   463.3519;            3   
     512;   464.2272;           11   
     513;   465.1025;            9   
     514;   465.9778;            4   
     515;   466.8530;            8   
     516;   467.7283;            5   
     517;   468.6036;            8   
     518;   469.4789;            8   
     519;   470.3541;            3   
     520;   471.2294;            7   
     521;   472.1047;            4   
     522;   472.9800;            6   
     523;   473.8552;            4   
     524;   474.7305;            4   
     525;   475.6058;            1   
     526;   476.4811;            7   
     527;   477.3563;            6   
     528;   478.2316;            6   
     529;   479.1069;            9   
     530;   479.9822;            7   
     531;   480.8574;            8   
     532;   481.7327;           11   
     533;   482.6080;            7   
     534;   483.4833;           13   
     535;   484.3585;            5   
     536;   485.2338;           10   
     537;   486.1091;            7   
     538;   486.9844;            4   
     539;   487.8596;            8   
     540;   488.7349;           10   
     541;   489.6102;            8   
     542;   490.4855;            6   
     543;   491.3607;            9   
     544;   492.2360;            2   
     545;   493.1113;            5   
     546;   493.9866;            7   
     547;   494.8618;            6   
     548;   495.7371;            7   
     549;   496.6124;            8   
     550;   497.4877;            7   
     551;   498.3629;           12   
     552;   499.2382;           14   
     553;   500.1135;            5   
     554;   500.9888;            3   
     555;   501.8640;            4   
     556;   502.7393;            7   
     557;   503.6146;            8   
     558;   504.4899;            5   
     559;   505.3651;            3   
     560;   506.2404;            8   
     561;   507.1157;            9   
     562;   507.9910;            2   
     563;   508.8662;            9   
     564;   509.7415;            3   
     565;   510.6168;           10   
     566;   511.4921;            5   
     567;   512.3673;           10   
     568;   513.2426;            9   
     569;   514.1179;            6   
     570;   514.9932;            6   
     571;   515.8684;            5   
     572;   516.7437;            6   
     573;   517.6190;            7   
     574;   518.4943;            9   
     575;   519.3695;            5   
     576;   520.2448;            5   
     577;   521.1201;            1   
     578;   521.9954;            6   
     579;   522.8706;            3   
     580;   523.7459;           10   
     581;   524.6212;            2   
     582;   525.4965;           15   
     583;   526.3717;           11   
     584;   527.2470;            7   
     585;   528.1223;            9   
     586;   528.9976;            6   
     587;   529.8728;           12   
     588;   530.7481;            4   
     589;   531.6234;           11   
     590;   532.4987;            5   
     591;   533.3739;            6   
     592;   534.2492;            7   
     593;   535.1245;            8   
     594;   535.9998;            6   
     595;   536.8750;            8   
     596;   537.7503;            2   
     597;   538.6256;            5   
     598;   539.5009;            4   
     599;   540.3761;            5   
     600;   541.2514;            8   
     601;   542.1267;            9   
     602;   543.0020;            8   
     603;   543.8772;            4   
     604;   544.7525;           11   
     605;   545.6278;            4   
     606;   546.5031;            7   
     607;   547.3783;            7   
     608;   548.2536;            7   
     609;   549.1289;            9   
     610;   550.0042;            8   
     611;   550.8794;            5   
     612;   551.7547;            3   
     613;   552.6300;            6   
     614;   553.5053;            3   
     615;   554.3805;            3   
     616;   555.2558;            3   
     617;   556.1311;            6   
     618;   557.0064;            2   
     619;   557.8816;            6   
     620;   558.7569;            7   
     621;   559.6322;            7   
     622;   560.5075;            7   
     623;   561.3827;            4   
     624;   562.2580;            6   
     625;   563.1333;            5   
     626;   564.0086;            4   
     627;   564.8838;            2   
     628;   565.7591;            6   
     629;   566.6344;            6   
     630;   567.5097;            5   
     631;   568.3849;            6   
     632;   569.2602;            6   
     633;   570.1355;            5   
     634;   571.0108;            4   
     635;   571.8860;            4   
     636;   572.7613;            5   
     637;   573.6366;            6   
     638;   574.5119;            5   
     639;   575.3871;            8   
     640;   576.2624;            2   
     641;   577.1377;            2   
     642;   578.0130;            2   
     643;   578.8882;           11   
     644;   579.7635;            6   
     645;   580.6388;            3   
     646;   581.5141;            8   
     647;   582.3893;            5   
     648;   583.2646;            7   
     649;   584.1399;            9   
     650;   585.0152;            4   
     651;   585.8904;            5   
     652;   586.7657;            5   
     653;   587.6410;            3   
     654;   588.5163;            4   
     655;   589.3915;            7   
     656;   590.2668;            6   
     657;   591.1421;            5   
     658;   592.0174;            5   
     659;   592.8926;            9   
     660;   593.7679;            4   
     661;   594.6432;            6   
     662;   595.5185;            3   
     663;   596.3937;            5   
     664;   597.2690;            3   
     665;   598.1443;            7   
     666;   599.0196;            3   
     667;   599.8948;           10   
     668;   600.7701;           14   
     669;   601.6454;            4   
     670;   602.5207;            3   
     671;   603.3959;            3   
     672;   604.2712;            3   
     673;   605.1465;            8   
     674;   606.0218;            3   
     675;   606.8970;            3   
     676;   607.7723;            4   
     677;   608.6476;            3   
     678;   609.5229;            6   
     679;   610.3981;            2   
     680;   611.2734;            6   
     681;   612.1487;            4   
     682;   613.0240;            6   
     683;   613.8992;            6   
     684;   614.7745;            4   
     685;   615.6498;            6   
     686;   616.5251;            4   
     687;   617.4003;            4   
     688;   618.2756;            5   
     689;   619.1509;            7   
     690;   620.0262;            1   
     691;   620.9014;            5   
