Kanal;   Energie(keV); Impulse
       1;    16.9617;      1770237   
       2;    17.8370;      1587092   
       3;    18.7122;      1424765   
       4;    19.5875;      1277962   
       5;    20.4628;      1146115   
       6;    21.3381;      1020520   
       7;    22.2133;       900631   
       8;    23.0886;       794557   
       9;    23.9639;       693972   
      10;    24.8392;       608761   
      11;    25.7144;       526716   
      12;    26.5897;       457547   
      13;    27.4650;       394360   
      14;    28.3403;       339271   
      15;    29.2155;       291340   
      16;    30.0908;       250416   
      17;    30.9661;       212995   
      18;    31.8414;       182124   
      19;    32.7166;       155333   
      20;    33.5919;       132502   
      21;    34.4672;       112271   
      22;    35.3425;        95388   
      23;    36.2177;        80871   
      24;    37.0930;        68911   
      25;    37.9683;        57520   
      26;    38.8436;        48829   
      27;    39.7188;        41553   
      28;    40.5941;        34675   
      29;    41.4694;        29380   
      30;    42.3447;        24924   
      31;    43.2199;        20827   
      32;    44.0952;        16793   
      33;    44.9705;        13785   
      34;    45.8458;        12006   
      35;    46.7210;        10124   
      36;    47.5963;         8854   
      37;    48.4716;         7373   
      38;    49.3469;         6292   
      39;    50.2221;         5354   
      40;    51.0974;         4526   
      41;    51.9727;         3893   
      42;    52.8480;         3326   
      43;    53.7232;         2849   
      44;    54.5985;         2366   
      45;    55.4738;         2081   
      46;    56.3491;         1697   
      47;    57.2243;         1470   
      48;    58.0996;         1308   
      49;    58.9749;         1171   
      50;    59.8502;          961   
      51;    60.7254;          810   
      52;    61.6007;          731   
      53;    62.4760;          629   
      54;    63.3513;          565   
      55;    64.2265;          560   
      56;    65.1018;          538   
      57;    65.9771;          488   
      58;    66.8524;          384   
      59;    67.7276;          411   
      60;    68.6029;          363   
      61;    69.4782;          353   
      62;    70.3535;          323   
      63;    71.2287;          312   
      64;    72.1040;          287   
      65;    72.9793;          306   
      66;    73.8546;          288   
      67;    74.7298;          292   
      68;    75.6051;          279   
      69;    76.4804;          258   
      70;    77.3557;          234   
      71;    78.2309;          270   
      72;    79.1062;          233   
      73;    79.9815;          235   
      74;    80.8568;          247   
      75;    81.7320;          207   
      76;    82.6073;          204   
      77;    83.4826;          223   
      78;    84.3579;          225   
      79;    85.2331;          232   
      80;    86.1084;          210   
      81;    86.9837;          193   
      82;    87.8590;          220   
      83;    88.7342;          215   
      84;    89.6095;          201   
      85;    90.4848;          203   
      86;    91.3601;          199   
      87;    92.2353;          203   
      88;    93.1106;          198   
      89;    93.9859;          198   
      90;    94.8612;          202   
      91;    95.7364;          212   
      92;    96.6117;          168   
      93;    97.4870;          172   
      94;    98.3623;          193   
      95;    99.2375;          197   
      96;   100.1128;          195   
      97;   100.9881;          183   
      98;   101.8634;          177   
      99;   102.7386;          178   
     100;   103.6139;          208   
     101;   104.4892;          174   
     102;   105.3645;          182   
     103;   106.2397;          197   
     104;   107.1150;          188   
     105;   107.9903;          173   
     106;   108.8656;          194   
     107;   109.7408;          157   
     108;   110.6161;          164   
     109;   111.4914;          171   
     110;   112.3667;          161   
     111;   113.2419;          186   
     112;   114.1172;          176   
     113;   114.9925;          165   
     114;   115.8678;          177   
     115;   116.7430;          157   
     116;   117.6183;          139   
     117;   118.4936;          178   
     118;   119.3689;          159   
     119;   120.2441;          171   
     120;   121.1194;          155   
     121;   121.9947;          186   
     122;   122.8700;          185   
     123;   123.7452;          151   
     124;   124.6205;          179   
     125;   125.4958;          116   
     126;   126.3711;          161   
     127;   127.2463;          170   
     128;   128.1216;          180   
     129;   128.9969;          163   
     130;   129.8722;          137   
     131;   130.7474;          156   
     132;   131.6227;          150   
     133;   132.4980;          147   
     134;   133.3733;          143   
     135;   134.2485;          143   
     136;   135.1238;          150   
     137;   135.9991;          146   
     138;   136.8744;          145   
     139;   137.7496;          134   
     140;   138.6249;          176   
     141;   139.5002;          159   
     142;   140.3755;          158   
     143;   141.2507;          140   
     144;   142.1260;          151   
     145;   143.0013;          148   
     146;   143.8766;          167   
     147;   144.7518;          156   
     148;   145.6271;          146   
     149;   146.5024;          151   
     150;   147.3777;          165   
     151;   148.2529;          119   
     152;   149.1282;          138   
     153;   150.0035;          141   
     154;   150.8788;          160   
     155;   151.7540;          127   
     156;   152.6293;          151   
     157;   153.5046;          141   
     158;   154.3799;          168   
     159;   155.2551;          153   
     160;   156.1304;          162   
     161;   157.0057;          150   
     162;   157.8810;          149   
     163;   158.7562;          144   
     164;   159.6315;          181   
     165;   160.5068;          150   
     166;   161.3821;          137   
     167;   162.2573;          136   
     168;   163.1326;          165   
     169;   164.0079;          174   
     170;   164.8832;          159   
     171;   165.7584;          131   
     172;   166.6337;          142   
     173;   167.5090;          133   
     174;   168.3843;          122   
     175;   169.2595;          136   
     176;   170.1348;          150   
     177;   171.0101;          143   
     178;   171.8854;          162   
     179;   172.7606;          124   
     180;   173.6359;          135   
     181;   174.5112;          153   
     182;   175.3865;          138   
     183;   176.2617;          127   
     184;   177.1370;          134   
     185;   178.0123;          143   
     186;   178.8876;          149   
     187;   179.7628;          170   
     188;   180.6381;          118   
     189;   181.5134;          131   
     190;   182.3887;          141   
