Kanal;   Energie(keV); Impulse
       1;    16.9617;        83996   
       2;    17.8370;        54306   
       3;    18.7122;        35279   
       4;    19.5875;        22906   
       5;    20.4628;        15074   
       6;    21.3381;         9965   
       7;    22.2133;         6604   
       8;    23.0886;         4447   
       9;    23.9639;         3096   
      10;    24.8392;         2206   
      11;    25.7144;         1704   
      12;    26.5897;         1300   
      13;    27.4650;         1117   
      14;    28.3403;          913   
      15;    29.2155;          790   
      16;    30.0908;          727   
      17;    30.9661;          688   
      18;    31.8414;          602   
      19;    32.7166;          583   
      20;    33.5919;          573   
      21;    34.4672;          554   
      22;    35.3425;          524   
      23;    36.2177;          497   
      24;    37.0930;          455   
      25;    37.9683;          484   
      26;    38.8436;          442   
      27;    39.7188;          384   
      28;    40.5941;          395   
      29;    41.4694;          368   
      30;    42.3447;          387   
      31;    43.2199;          371   
      32;    44.0952;          344   
      33;    44.9705;          333   
      34;    45.8458;          341   
      35;    46.7210;          311   
      36;    47.5963;          301   
      37;    48.4716;          325   
      38;    49.3469;          278   
      39;    50.2221;          263   
      40;    51.0974;          277   
      41;    51.9727;          272   
      42;    52.8480;          296   
      43;    53.7232;          272   
      44;    54.5985;          280   
      45;    55.4738;          274   
      46;    56.3491;          237   
      47;    57.2243;          257   
      48;    58.0996;          211   
      49;    58.9749;          212   
      50;    59.8502;          231   
      51;    60.7254;          227   
      52;    61.6007;          214   
      53;    62.4760;          210   
      54;    63.3513;          212   
      55;    64.2265;          215   
      56;    65.1018;          223   
      57;    65.9771;          213   
      58;    66.8524;          209   
      59;    67.7276;          205   
      60;    68.6029;          191   
      61;    69.4782;          198   
      62;    70.3535;          185   
      63;    71.2287;          190   
      64;    72.1040;          209   
      65;    72.9793;          181   
      66;    73.8546;          181   
      67;    74.7298;          179   
      68;    75.6051;          187   
      69;    76.4804;          165   
      70;    77.3557;          148   
      71;    78.2309;          160   
      72;    79.1062;          163   
      73;    79.9815;          186   
      74;    80.8568;          170   
      75;    81.7320;          164   
      76;    82.6073;          167   
      77;    83.4826;          169   
      78;    84.3579;          150   
      79;    85.2331;          146   
      80;    86.1084;          145   
      81;    86.9837;          144   
      82;    87.8590;          150   
      83;    88.7342;          143   
      84;    89.6095;          158   
      85;    90.4848;          131   
      86;    91.3601;          138   
      87;    92.2353;          159   
      88;    93.1106;          127   
      89;    93.9859;          148   
      90;    94.8612;          149   
      91;    95.7364;          134   
      92;    96.6117;          127   
      93;    97.4870;          137   
      94;    98.3623;          131   
      95;    99.2375;          139   
      96;   100.1128;          140   
      97;   100.9881;          122   
      98;   101.8634;          151   
      99;   102.7386;          146   
     100;   103.6139;          116   
     101;   104.4892;          119   
     102;   105.3645;          114   
     103;   106.2397;          137   
     104;   107.1150;          131   
     105;   107.9903;          139   
     106;   108.8656;          114   
     107;   109.7408;          137   
     108;   110.6161;          133   
     109;   111.4914;          109   
     110;   112.3667;          126   
     111;   113.2419;          120   
     112;   114.1172;          103   
     113;   114.9925;          131   
     114;   115.8678;          130   
     115;   116.7430;          115   
     116;   117.6183;          128   
     117;   118.4936;          126   
     118;   119.3689;          137   
     119;   120.2441;          127   
     120;   121.1194;          103   
     121;   121.9947;          112   
     122;   122.8700;           94   
     123;   123.7452;          103   
     124;   124.6205;          100   
     125;   125.4958;          112   
     126;   126.3711;          108   
     127;   127.2463;          113   
     128;   128.1216;          118   
     129;   128.9969;          105   
     130;   129.8722;          119   
     131;   130.7474;          111   
     132;   131.6227;          113   
     133;   132.4980;          104   
     134;   133.3733;          107   
     135;   134.2485;           99   
     136;   135.1238;          108   
     137;   135.9991;          128   
     138;   136.8744;          112   
     139;   137.7496;          102   
     140;   138.6249;           94   
     141;   139.5002;          110   
     142;   140.3755;           95   
     143;   141.2507;          104   
     144;   142.1260;           92   
     145;   143.0013;          102   
     146;   143.8766;           91   
     147;   144.7518;          109   
