Kanal;   Energie(keV); Impulse
       1;    16.9617;         6576   
       2;    17.8370;         5883   
       3;    18.7122;         5739   
       4;    19.5875;         5646   
       5;    20.4628;         5354   
       6;    21.3381;         5291   
       7;    22.2133;         5091   
       8;    23.0886;         5141   
       9;    23.9639;         4934   
      10;    24.8392;         4913   
      11;    25.7144;         4711   
      12;    26.5897;         4607   
      13;    27.4650;         4652   
      14;    28.3403;         4504   
      15;    29.2155;         4244   
      16;    30.0908;         4393   
      17;    30.9661;         4294   
      18;    31.8414;         4264   
      19;    32.7166;         4145   
      20;    33.5919;         4142   
      21;    34.4672;         4068   
      22;    35.3425;         4286   
      23;    36.2177;         4011   
      24;    37.0930;         3988   
      25;    37.9683;         3975   
      26;    38.8436;         4060   
      27;    39.7188;         3915   
      28;    40.5941;         3911   
      29;    41.4694;         3833   
      30;    42.3447;         3904   
      31;    43.2199;         3791   
      32;    44.0952;         3767   
      33;    44.9705;         3820   
      34;    45.8458;         3719   
      35;    46.7210;         3753   
      36;    47.5963;         3752   
      37;    48.4716;         3666   
      38;    49.3469;         3584   
      39;    50.2221;         3731   
      40;    51.0974;         3655   
      41;    51.9727;         3724   
      42;    52.8480;         3715   
      43;    53.7232;         3606   
      44;    54.5985;         3676   
      45;    55.4738;         3750   
      46;    56.3491;         3763   
      47;    57.2243;         3842   
      48;    58.0996;         3618   
      49;    58.9749;         3870   
      50;    59.8502;         3798   
      51;    60.7254;         3811   
      52;    61.6007;         3989   
      53;    62.4760;         4086   
      54;    63.3513;         4079   
      55;    64.2265;         4171   
      56;    65.1018;         4218   
      57;    65.9771;         4355   
      58;    66.8524;         4503   
      59;    67.7276;         4496   
      60;    68.6029;         4637   
      61;    69.4782;         4862   
      62;    70.3535;         4869   
      63;    71.2287;         4925   
      64;    72.1040;         5215   
      65;    72.9793;         5468   
      66;    73.8546;         6781   
      67;    74.7298;         8739   
      68;    75.6051;         8283   
      69;    76.4804;        10910   
      70;    77.3557;        11115   
      71;    78.2309;         7093   
      72;    79.1062;         6354   
      73;    79.9815;         6127   
      74;    80.8568;         5994   
      75;    81.7320;         6119   
      76;    82.6073;         6236   
      77;    83.4826;         6429   
      78;    84.3579;         6557   
      79;    85.2331;         7052   
      80;    86.1084;         8983   
      81;    86.9837;         9833   
      82;    87.8590;         8049   
      83;    88.7342;         7806   
      84;    89.6095;         8005   
      85;    90.4848;         7137   
      86;    91.3601;         7041   
      87;    92.2353;         7055   
      88;    93.1106;         6868   
      89;    93.9859;         7095   
      90;    94.8612;         7627   
      91;    95.7364;         7447   
      92;    96.6117;         7229   
      93;    97.4870;         7335   
      94;    98.3623;         7237   
      95;    99.2375;         7409   
      96;   100.1128;         7445   
      97;   100.9881;         7508   
      98;   101.8634;         7389   
      99;   102.7386;         7358   
     100;   103.6139;         7494   
     101;   104.4892;         7512   
     102;   105.3645;         7603   
     103;   106.2397;         7684   
     104;   107.1150;         7723   
     105;   107.9903;         7515   
     106;   108.8656;         7601   
     107;   109.7408;         7657   
     108;   110.6161;         7701   
     109;   111.4914;         7728   
     110;   112.3667;         7612   
     111;   113.2419;         7748   
     112;   114.1172;         7845   
     113;   114.9925;         7694   
     114;   115.8678;         7616   
     115;   116.7430;         7743   
     116;   117.6183;         7742   
     117;   118.4936;         7701   
     118;   119.3689;         7629   
     119;   120.2441;         7666   
     120;   121.1194;         7579   
     121;   121.9947;         7511   
     122;   122.8700;         7602   
     123;   123.7452;         7790   
     124;   124.6205;         7582   
     125;   125.4958;         7498   
     126;   126.3711;         7531   
     127;   127.2463;         7576   
     128;   128.1216;         7525   
     129;   128.9969;         7442   
     130;   129.8722;         7450   
     131;   130.7474;         7589   
     132;   131.6227;         7425   
     133;   132.4980;         7507   
     134;   133.3733;         7125   
     135;   134.2485;         7322   
     136;   135.1238;         7309   
     137;   135.9991;         7308   
     138;   136.8744;         7107   
     139;   137.7496;         7143   
     140;   138.6249;         7068   
     141;   139.5002;         7098   
     142;   140.3755;         6973   
     143;   141.2507;         7048   
     144;   142.1260;         6894   
     145;   143.0013;         6866   
     146;   143.8766;         6867   
     147;   144.7518;         6856   
     148;   145.6271;         6860   
     149;   146.5024;         6684   
     150;   147.3777;         6788   
     151;   148.2529;         6667   
     152;   149.1282;         6804   
     153;   150.0035;         6606   
     154;   150.8788;         6410   
     155;   151.7540;         6508   
     156;   152.6293;         6557   
     157;   153.5046;         6341   
     158;   154.3799;         6266   
     159;   155.2551;         6443   
     160;   156.1304;         6274   
     161;   157.0057;         6204   
     162;   157.8810;         6169   
     163;   158.7562;         6089   
     164;   159.6315;         5973   
     165;   160.5068;         5900   
     166;   161.3821;         6047   
     167;   162.2573;         5977   
     168;   163.1326;         5778   
     169;   164.0079;         5779   
     170;   164.8832;         5925   
     171;   165.7584;         5818   
     172;   166.6337;         5709   
     173;   167.5090;         5750   
     174;   168.3843;         5606   
     175;   169.2595;         5681   
     176;   170.1348;         5631   
     177;   171.0101;         5533   
     178;   171.8854;         5571   
     179;   172.7606;         5431   
     180;   173.6359;         5397   
     181;   174.5112;         5345   
     182;   175.3865;         5377   
     183;   176.2617;         5264   
     184;   177.1370;         5284   
     185;   178.0123;         5278   
     186;   178.8876;         5082   
     187;   179.7628;         5220   
     188;   180.6381;         5284   
     189;   181.5134;         5114   
     190;   182.3887;         5031   
     191;   183.2639;         5124   
     192;   184.1392;         5029   
     193;   185.0145;         4846   
     194;   185.8898;         5021   
     195;   186.7650;         5210   
     196;   187.6403;         5257   
     197;   188.5156;         5182   
     198;   189.3909;         4896   
     199;   190.2661;         4706   
     200;   191.1414;         4715   
     201;   192.0167;         4682   
     202;   192.8920;         4731   
     203;   193.7672;         4710   
     204;   194.6425;         4752   
     205;   195.5178;         4533   
     206;   196.3931;         4549   
     207;   197.2683;         4561   
     208;   198.1436;         4438   
     209;   199.0189;         4520   
     210;   199.8942;         4464   
     211;   200.7694;         4431   
     212;   201.6447;         4415   
     213;   202.5200;         4327   
     214;   203.3953;         4346   
     215;   204.2705;         4219   
     216;   205.1458;         4240   
     217;   206.0211;         4376   
     218;   206.8964;         4298   
     219;   207.7716;         4197   
     220;   208.6469;         4094   
     221;   209.5222;         4217   
     222;   210.3975;         4333   
     223;   211.2727;         4435   
     224;   212.1480;         4134   
     225;   213.0233;         4024   
     226;   213.8986;         3998   
     227;   214.7738;         3912   
     228;   215.6491;         3908   
     229;   216.5244;         3903   
     230;   217.3997;         3904   
     231;   218.2749;         3880   
     232;   219.1502;         3919   
     233;   220.0255;         3865   
     234;   220.9008;         3793   
     235;   221.7760;         3846   
     236;   222.6513;         3894   
     237;   223.5266;         3781   
     238;   224.4019;         3816   
     239;   225.2771;         3775   
     240;   226.1524;         3699   
     241;   227.0277;         3625   
     242;   227.9030;         3612   
     243;   228.7782;         3551   
     244;   229.6535;         3657   
     245;   230.5288;         3624   
     246;   231.4041;         3516   
     247;   232.2793;         3630   
     248;   233.1546;         3553   
     249;   234.0299;         3516   
     250;   234.9052;         3547   
     251;   235.7804;         3468   
     252;   236.6557;         3414   
     253;   237.5310;         3394   
     254;   238.4063;         3359   
     255;   239.2815;         4411   
     256;   240.1568;         6676   
     257;   241.0321;         5869   
     258;   241.9074;         3769   
     259;   242.7826;         3701   
     260;   243.6579;         3756   
     261;   244.5332;         3469   
     262;   245.4085;         3070   
     263;   246.2837;         3120   
     264;   247.1590;         2982   
     265;   248.0343;         3055   
     266;   248.9096;         2960   
     267;   249.7848;         3011   
     268;   250.6601;         2910   
     269;   251.5354;         2914   
     270;   252.4107;         2845   
     271;   253.2859;         2874   
     272;   254.1612;         2937   
     273;   255.0365;         2820   
     274;   255.9118;         2904   
     275;   256.7870;         2788   
     276;   257.6623;         2757   
     277;   258.5376;         2821   
     278;   259.4129;         2763   
     279;   260.2881;         2782   
     280;   261.1634;         2840   
     281;   262.0387;         2703   
     282;   262.9140;         2652   
     283;   263.7892;         2709   
     284;   264.6645;         2624   
     285;   265.5398;         2520   
     286;   266.4151;         2572   
     287;   267.2903;         2537   
     288;   268.1656;         2580   
     289;   269.0409;         2591   
     290;   269.9162;         2524   
     291;   270.7914;         2526   
     292;   271.6667;         2778   
     293;   272.5420;         2761   
     294;   273.4173;         2518   
     295;   274.2925;         2491   
     296;   275.1678;         2376   
     297;   276.0431;         2519   
     298;   276.9184;         2349   
     299;   277.7936;         2528   
     300;   278.6689;         2489   
     301;   279.5442;         2589   
     302;   280.4195;         2505   
     303;   281.2947;         2337   
     304;   282.1700;         2345   
     305;   283.0453;         2295   
     306;   283.9206;         2286   
     307;   284.7958;         2328   
     308;   285.6711;         2277   
     309;   286.5464;         2221   
     310;   287.4217;         2248   
     311;   288.2969;         2158   
     312;   289.1722;         2244   
     313;   290.0475;         2188   
     314;   290.9228;         2189   
     315;   291.7980;         2126   
     316;   292.6733;         2140   
     317;   293.5486;         2160   
     318;   294.4239;         2204   
     319;   295.2991;         2174   
     320;   296.1744;         2900   
     321;   297.0497;         3336   
     322;   297.9250;         2555   
     323;   298.8002;         2052   
     324;   299.6755;         1990   
     325;   300.5508;         2194   
     326;   301.4261;         2171   
     327;   302.3013;         2196   
     328;   303.1766;         2022   
     329;   304.0519;         1950   
     330;   304.9272;         1946   
     331;   305.8024;         1973   
     332;   306.6777;         2045   
     333;   307.5530;         1918   
     334;   308.4283;         1940   
     335;   309.3035;         1846   
     336;   310.1788;         1898   
     337;   311.0541;         1887   
     338;   311.9294;         1870   
     339;   312.8046;         1864   
     340;   313.6799;         1899   
     341;   314.5552;         1902   
     342;   315.4305;         1829   
     343;   316.3057;         1868   
     344;   317.1810;         1838   
     345;   318.0563;         1799   
     346;   318.9316;         1776   
     347;   319.8068;         1733   
     348;   320.6821;         1859   
     349;   321.5574;         1839   
     350;   322.4327;         1821   
     351;   323.3079;         1805   
     352;   324.1832;         1807   
     353;   325.0585;         1741   
     354;   325.9338;         1793   
     355;   326.8090;         1743   
     356;   327.6843;         1740   
     357;   328.5596;         1841   
     358;   329.4349;         1944   
     359;   330.3101;         1934   
     360;   331.1854;         1761   
     361;   332.0607;         1640   
     362;   332.9360;         1688   
     363;   333.8112;         1736   
     364;   334.6865;         1715   
     365;   335.5618;         1701   
     366;   336.4371;         1703   
     367;   337.3123;         1712   
     368;   338.1876;         1749   
     369;   339.0629;         2005   
     370;   339.9382;         2529   
     371;   340.8134;         2028   
     372;   341.6887;         1637   
     373;   342.5640;         1676   
     374;   343.4393;         1520   
     375;   344.3145;         1664   
     376;   345.1898;         1609   
     377;   346.0651;         1511   
     378;   346.9404;         1536   
     379;   347.8156;         1550   
     380;   348.6909;         1537   
     381;   349.5662;         1502   
     382;   350.4415;         1515   
     383;   351.3167;         1565   
     384;   352.1920;         1919   
     385;   353.0673;         3194   
     386;   353.9426;         3501   
     387;   354.8178;         2045   
     388;   355.6931;         1469   
     389;   356.5684;         1475   
     390;   357.4437;         1372   
     391;   358.3189;         1426   
     392;   359.1942;         1416   
     393;   360.0695;         1417   
     394;   360.9448;         1445   
     395;   361.8200;         1340   
     396;   362.6953;         1347   
     397;   363.5706;         1384   
     398;   364.4459;         1359   
     399;   365.3211;         1449   
     400;   366.1964;         1281   
     401;   367.0717;         1330   
     402;   367.9470;         1303   
     403;   368.8222;         1401   
     404;   369.6975;         1340   
     405;   370.5728;         1316   
     406;   371.4481;         1368   
     407;   372.3233;         1317   
     408;   373.1986;         1364   
     409;   374.0739;         1289   
     410;   374.9492;         1311   
     411;   375.8244;         1339   
     412;   376.6997;         1292   
     413;   377.5750;         1262   
     414;   378.4503;         1283   
     415;   379.3255;         1357   
     416;   380.2008;         1252   
     417;   381.0761;         1307   
     418;   381.9514;         1300   
     419;   382.8266;         1198   
     420;   383.7019;         1277   
     421;   384.5772;         1258   
     422;   385.4525;         1278   
     423;   386.3277;         1265   
     424;   387.2030;         1278   
     425;   388.0783;         1252   
     426;   388.9536;         1286   
     427;   389.8288;         1247   
     428;   390.7041;         1194   
     429;   391.5794;         1231   
     430;   392.4547;         1183   
     431;   393.3299;         1179   
     432;   394.2052;         1279   
     433;   395.0805;         1196   
     434;   395.9558;         1227   
     435;   396.8310;         1225   
     436;   397.7063;         1237   
     437;   398.5816;         1198   
     438;   399.4569;         1195   
     439;   400.3321;         1161   
     440;   401.2074;         1207   
     441;   402.0827;         1187   
     442;   402.9580;         1202   
     443;   403.8332;         1201   
     444;   404.7085;         1128   
     445;   405.5838;         1146   
     446;   406.4591;         1112   
     447;   407.3343;         1200   
     448;   408.2096;         1194   
     449;   409.0849;         1117   
     450;   409.9602;         1151   
     451;   410.8354;         1260   
     452;   411.7107;         1225   
     453;   412.5860;         1120   
     454;   413.4613;         1089   
     455;   414.3365;         1070   
     456;   415.2118;         1097   
     457;   416.0871;         1099   
     458;   416.9624;         1069   
     459;   417.8376;         1086   
     460;   418.7129;         1024   
     461;   419.5882;         1116   
     462;   420.4635;         1072   
     463;   421.3387;         1048   
     464;   422.2140;         1071   
     465;   423.0893;         1074   
     466;   423.9646;         1047   
     467;   424.8398;          997   
     468;   425.7151;         1150   
     469;   426.5904;         1048   
     470;   427.4657;         1070   
     471;   428.3409;         1106   
     472;   429.2162;         1046   
     473;   430.0915;         1012   
     474;   430.9668;         1055   
     475;   431.8420;         1003   
     476;   432.7173;         1055   
     477;   433.5926;         1075   
     478;   434.4679;         1020   
     479;   435.3431;          956   
     480;   436.2184;          993   
     481;   437.0937;          999   
     482;   437.9690;          995   
     483;   438.8442;          982   
     484;   439.7195;         1099   
     485;   440.5948;         1061   
     486;   441.4701;         1034   
     487;   442.3453;         1015   
     488;   443.2206;         1023   
     489;   444.0959;         1011   
     490;   444.9712;          941   
     491;   445.8464;          966   
     492;   446.7217;          975   
     493;   447.5970;          956   
     494;   448.4723;          914   
     495;   449.3475;          947   
     496;   450.2228;          917   
     497;   451.0981;          956   
     498;   451.9734;          884   
     499;   452.8486;          974   
     500;   453.7239;          902   
     501;   454.5992;          965   
     502;   455.4745;          948   
     503;   456.3497;          953   
     504;   457.2250;          874   
     505;   458.1003;          966   
     506;   458.9756;          925   
     507;   459.8508;          974   
     508;   460.7261;          954   
     509;   461.6014;          904   
     510;   462.4767;          926   
     511;   463.3519;         1004   
     512;   464.2272;         1129   
     513;   465.1025;         1221   
     514;   465.9778;          930   
     515;   466.8530;          933   
     516;   467.7283;          913   
     517;   468.6036;          958   
     518;   469.4789;          885   
     519;   470.3541;          872   
     520;   471.2294;          886   
     521;   472.1047;          849   
     522;   472.9800;          889   
     523;   473.8552;          863   
     524;   474.7305;          840   
     525;   475.6058;          880   
     526;   476.4811;          933   
     527;   477.3563;          835   
     528;   478.2316;          838   
     529;   479.1069;          896   
     530;   479.9822;          859   
     531;   480.8574;          909   
     532;   481.7327;          902   
     533;   482.6080;          826   
     534;   483.4833;          876   
     535;   484.3585;          807   
     536;   485.2338;          848   
     537;   486.1091;          887   
     538;   486.9844;          822   
     539;   487.8596;          831   
     540;   488.7349;          833   
     541;   489.6102;          841   
     542;   490.4855;          782   
     543;   491.3607;          810   
     544;   492.2360;          814   
     545;   493.1113;          791   
     546;   493.9866;          776   
     547;   494.8618;          818   
     548;   495.7371;          780   
     549;   496.6124;          827   
     550;   497.4877;          761   
     551;   498.3629;          838   
     552;   499.2382;          809   
     553;   500.1135;          809   
     554;   500.9888;          831   
     555;   501.8640;          803   
     556;   502.7393;          809   
     557;   503.6146;          871   
     558;   504.4899;          795   
     559;   505.3651;          806   
     560;   506.2404;          807   
     561;   507.1157;          788   
     562;   507.9910;          770   
     563;   508.8662;          852   
     564;   509.7415;          871   
     565;   510.6168;         1064   
     566;   511.4921;         1625   
     567;   512.3673;         2093   
     568;   513.2426;         1661   
     569;   514.1179;         1192   
     570;   514.9932;          922   
     571;   515.8684;          818   
     572;   516.7437;          802   
     573;   517.6190;          826   
     574;   518.4943;          758   
     575;   519.3695;          738   
     576;   520.2448;          744   
     577;   521.1201;          724   
     578;   521.9954;          738   
     579;   522.8706;          744   
     580;   523.7459;          751   
     581;   524.6212;          766   
     582;   525.4965;          761   
     583;   526.3717;          722   
     584;   527.2470;          718   
     585;   528.1223;          744   
     586;   528.9976;          696   
     587;   529.8728;          736   
     588;   530.7481;          742   
     589;   531.6234;          748   
     590;   532.4987;          712   
     591;   533.3739;          724   
     592;   534.2492;          790   
     593;   535.1245;          717   
     594;   535.9998;          711   
     595;   536.8750;          753   
     596;   537.7503;          686   
     597;   538.6256;          751   
     598;   539.5009;          707   
     599;   540.3761;          704   
     600;   541.2514;          723   
     601;   542.1267;          710   
     602;   543.0020;          693   
     603;   543.8772;          674   
     604;   544.7525;          691   
     605;   545.6278;          707   
     606;   546.5031;          677   
     607;   547.3783;          720   
     608;   548.2536;          716   
     609;   549.1289;          714   
     610;   550.0042;          674   
     611;   550.8794;          722   
     612;   551.7547;          688   
     613;   552.6300;          705   
     614;   553.5053;          717   
     615;   554.3805;          742   
     616;   555.2558;          673   
     617;   556.1311;          676   
     618;   557.0064;          664   
     619;   557.8816;          666   
     620;   558.7569;          700   
     621;   559.6322;          631   
     622;   560.5075;          675   
     623;   561.3827;          711   
     624;   562.2580;          667   
     625;   563.1333;          682   
     626;   564.0086;          739   
     627;   564.8838;          736   
     628;   565.7591;          678   
     629;   566.6344;          653   
     630;   567.5097;          626   
     631;   568.3849;          698   
     632;   569.2602;          648   
     633;   570.1355;          661   
     634;   571.0108;          637   
     635;   571.8860;          715   
     636;   572.7613;          629   
     637;   573.6366;          685   
     638;   574.5119;          639   
     639;   575.3871;          686   
     640;   576.2624;          668   
     641;   577.1377;          667   
     642;   578.0130;          643   
     643;   578.8882;          623   
     644;   579.7635;          645   
     645;   580.6388;          656   
     646;   581.5141;          644   
     647;   582.3893;          652   
     648;   583.2646;          928   
     649;   584.1399;         2119   
     650;   585.0152;         2402   
     651;   585.8904;         1225   
     652;   586.7657;          704   
     653;   587.6410;          642   
     654;   588.5163;          641   
     655;   589.3915;          609   
     656;   590.2668;          588   
     657;   591.1421;          590   
     658;   592.0174;          583   
     659;   592.8926;          604   
     660;   593.7679;          601   
     661;   594.6432;          653   
     662;   595.5185;          658   
     663;   596.3937;          607   
     664;   597.2690;          629   
     665;   598.1443;          606   
     666;   599.0196;          565   
     667;   599.8948;          602   
     668;   600.7701;          612   
     669;   601.6454;          630   
     670;   602.5207;          597   
     671;   603.3959;          574   
     672;   604.2712;          587   
     673;   605.1465;          621   
     674;   606.0218;          569   
     675;   606.8970;          615   
     676;   607.7723;          591   
     677;   608.6476;          668   
     678;   609.5229;         1279   
     679;   610.3981;         2751   
     680;   611.2734;         2611   
     681;   612.1487;         1183   
     682;   613.0240;          606   
     683;   613.8992;          585   
     684;   614.7745;          520   
     685;   615.6498;          586   
     686;   616.5251;          538   
     687;   617.4003;          546   
     688;   618.2756;          559   
     689;   619.1509;          554   
     690;   620.0262;          517   
     691;   620.9014;          582   
     692;   621.7767;          591   
     693;   622.6520;          535   
     694;   623.5273;          539   
     695;   624.4025;          539   
