Kanal;   Energie(keV); Impulse
       1;    16.9617;          532   
       2;    17.8370;          539   
       3;    18.7122;          524   
       4;    19.5875;          484   
       5;    20.4628;          491   
       6;    21.3381;          473   
       7;    22.2133;          446   
       8;    23.0886;          441   
       9;    23.9639;          438   
      10;    24.8392;          422   
      11;    25.7144;          361   
      12;    26.5897;          425   
      13;    27.4650;          375   
      14;    28.3403;          398   
      15;    29.2155;          396   
      16;    30.0908;          416   
      17;    30.9661;          323   
      18;    31.8414;          370   
      19;    32.7166;          359   
      20;    33.5919;          364   
      21;    34.4672;          356   
      22;    35.3425;          347   
      23;    36.2177;          394   
      24;    37.0930;          358   
      25;    37.9683;          350   
      26;    38.8436;          368   
      27;    39.7188;          365   
      28;    40.5941;          341   
      29;    41.4694;          375   
      30;    42.3447;          393   
      31;    43.2199;          369   
      32;    44.0952;          336   
      33;    44.9705;          336   
      34;    45.8458;          318   
      35;    46.7210;          304   
      36;    47.5963;          391   
      37;    48.4716;          428   
      38;    49.3469;          347   
      39;    50.2221;          299   
      40;    51.0974;          290   
      41;    51.9727;          272   
      42;    52.8480;          302   
      43;    53.7232;          292   
      44;    54.5985;          291   
      45;    55.4738;          291   
      46;    56.3491;          288   
      47;    57.2243;          285   
      48;    58.0996;          283   
      49;    58.9749;          275   
      50;    59.8502;          291   
      51;    60.7254;          305   
      52;    61.6007;          289   
      53;    62.4760;          343   
      54;    63.3513;          281   
      55;    64.2265;          305   
      56;    65.1018;          324   
      57;    65.9771;          329   
      58;    66.8524;          324   
      59;    67.7276;          325   
      60;    68.6029;          337   
      61;    69.4782;          357   
      62;    70.3535;          381   
      63;    71.2287;          366   
      64;    72.1040;          367   
      65;    72.9793;          409   
      66;    73.8546;          416   
      67;    74.7298;          618   
      68;    75.6051;          834   
      69;    76.4804;          711   
      70;    77.3557;         1046   
      71;    78.2309;         1064   
      72;    79.1062;          536   
      73;    79.9815;          430   
      74;    80.8568;          409   
      75;    81.7320;          422   
      76;    82.6073;          450   
      77;    83.4826;          429   
      78;    84.3579;          463   
      79;    85.2331;          521   
      80;    86.1084;          547   
      81;    86.9837;          858   
      82;    87.8590;          997   
      83;    88.7342;          734   
      84;    89.6095;          653   
      85;    90.4848;          630   
      86;    91.3601;          613   
      87;    92.2353;          507   
      88;    93.1106;          512   
      89;    93.9859;          495   
      90;    94.8612;          529   
      91;    95.7364;          533   
      92;    96.6117;          494   
      93;    97.4870;          511   
      94;    98.3623;          560   
      95;    99.2375;          544   
      96;   100.1128;          543   
      97;   100.9881;          547   
      98;   101.8634;          559   
      99;   102.7386;          571   
     100;   103.6139;          576   
     101;   104.4892;          562   
     102;   105.3645;          531   
     103;   106.2397;          532   
     104;   107.1150;          565   
     105;   107.9903;          565   
     106;   108.8656;          599   
     107;   109.7408;          588   
     108;   110.6161;          587   
     109;   111.4914;          579   
     110;   112.3667;          562   
     111;   113.2419;          604   
     112;   114.1172;          629   
     113;   114.9925;          549   
     114;   115.8678;          608   
     115;   116.7430;          557   
     116;   117.6183;          589   
     117;   118.4936;          681   
     118;   119.3689;          575   
     119;   120.2441;          582   
     120;   121.1194;          612   
     121;   121.9947;          555   
     122;   122.8700;          645   
     123;   123.7452;         2025   
     124;   124.6205;         6916   
     125;   125.4958;         5664   
     126;   126.3711;         1270   
     127;   127.2463;          516   
     128;   128.1216;          470   
     129;   128.9969;          432   
     130;   129.8722;          449   
     131;   130.7474;          409   
     132;   131.6227;          441   
     133;   132.4980;          420   
     134;   133.3733;          423   
     135;   134.2485;          451   
     136;   135.1238;          415   
     137;   135.9991;          468   
     138;   136.8744;          443   
     139;   137.7496;          404   
     140;   138.6249;          391   
     141;   139.5002;          373   
     142;   140.3755;          462   
     143;   141.2507;          407   
     144;   142.1260;          376   
     145;   143.0013;          429   
     146;   143.8766;          396   
     147;   144.7518;          427   
     148;   145.6271;          403   
     149;   146.5024;          416   
     150;   147.3777;          429   
     151;   148.2529;          424   
     152;   149.1282;          413   
     153;   150.0035;          451   
     154;   150.8788;          441   
     155;   151.7540;          474   
     156;   152.6293;          477   
     157;   153.5046;          461   
     158;   154.3799;          466   
     159;   155.2551;          420   
     160;   156.1304;          471   
     161;   157.0057;          447   
     162;   157.8810;          406   
     163;   158.7562;          450   
     164;   159.6315;          391   
     165;   160.5068;          407   
     166;   161.3821;          414   
     167;   162.2573;          427   
     168;   163.1326;          398   
     169;   164.0079;          406   
     170;   164.8832;          413   
     171;   165.7584;          417   
     172;   166.6337;          448   
     173;   167.5090;          403   
     174;   168.3843;          384   
     175;   169.2595;          381   
     176;   170.1348;          372   
     177;   171.0101;          363   
     178;   171.8854;          370   
     179;   172.7606;          386   
     180;   173.6359;          377   
     181;   174.5112;          391   
     182;   175.3865;          367   
     183;   176.2617;          412   
     184;   177.1370;          365   
     185;   178.0123;          356   
     186;   178.8876;          379   
     187;   179.7628;          344   
     188;   180.6381;          365   
     189;   181.5134;          338   
     190;   182.3887;          377   
     191;   183.2639;          364   
     192;   184.1392;          399   
     193;   185.0145;          382   
     194;   185.8898;          371   
     195;   186.7650;          365   
     196;   187.6403;          380   
     197;   188.5156;          367   
     198;   189.3909;          334   
     199;   190.2661;          327   
     200;   191.1414;          344   
     201;   192.0167;          344   
     202;   192.8920;          359   
     203;   193.7672;          370   
     204;   194.6425;          338   
     205;   195.5178;          361   
     206;   196.3931;          394   
     207;   197.2683;          373   
     208;   198.1436;          374   
     209;   199.0189;          362   
     210;   199.8942;          321   
     211;   200.7694;          317   
     212;   201.6447;          322   
     213;   202.5200;          342   
     214;   203.3953;          318   
     215;   204.2705;          316   
     216;   205.1458;          328   
     217;   206.0211;          313   
     218;   206.8964;          286   
     219;   207.7716;          316   
     220;   208.6469;          318   
     221;   209.5222;          293   
     222;   210.3975;          303   
     223;   211.2727;          352   
     224;   212.1480;          328   
     225;   213.0233;          317   
     226;   213.8986;          333   
     227;   214.7738;          329   
     228;   215.6491;          317   
     229;   216.5244;          312   
     230;   217.3997;          328   
     231;   218.2749;          324   
     232;   219.1502;          305   
     233;   220.0255;          284   
     234;   220.9008;          296   
     235;   221.7760;          292   
     236;   222.6513;          296   
     237;   223.5266;          302   
     238;   224.4019;          298   
     239;   225.2771;          291   
     240;   226.1524;          268   
     241;   227.0277;          254   
     242;   227.9030;          281   
     243;   228.7782;          276   
     244;   229.6535;          275   
     245;   230.5288;          293   
     246;   231.4041;          251   
